model,base_model,seed,policy,curiosity,w_epistemic,assay_variant,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,action_entropy,move_ratio,turn_ratio,turn_in_place_rate,blocked_forward_rate,true_stall_rate,revisit_rate,scan_events,hazard_contacts,boundary_hugging_fraction,internal_actuator_fraction,max_occupancy_fraction,occupancy_entropy,dwell_mean,dwell_median,dwell_p90,dwell_p99,dwell_max,vp_dwell_mean,vp_dwell_p90,vp_dwell_max,mean_valence,mean_arousal,mean_Ns,mean_bb_err,mean_precision_eff,mean_alpha_eff
Ipsundrum_Affect,humphrey_barrett,0,feelings,True,0.35,neutral_texture,120,2.3076923076923075,0.0,4.519643364169552,6.533187185984785,52,117.0,17,6.882352536332204,20,2,1.2241559999203833,0.68,0.32,0.32,0.095,0.095,0.4,27,0,0.535,1.0,0.12,5.282760764025006,1.694915254237288,1.0,3.0,9.319999999999993,18.0,1.098901098901099,1.0,18.0,0.5323208334661934,0.17599196774373943,0.6784767534031679,1.40303749960142,1.087709073090072,0.8164582660252516
Ipsundrum_Affect,humphrey_barrett,1,feelings,True,0.35,neutral_texture,131,2.0793650793650795,0.0,4.697190623211738,6.77919142474029,63,111.0,13,8.538460881656857,0,0,1.3547995485050872,0.61,0.39,0.39,0.055,0.055,0.345,33,0,0.22,1.0,0.075,5.4722299322509125,1.8018018018018018,1.0,3.0,5.0,10.0,1.0582010582010581,1.0,5.0,0.5443970430609509,0.17066523826830887,0.6730277272303868,1.3668088708171473,1.0850515081928283,0.8147549658399771
Ipsundrum_Affect,humphrey_barrett,2,feelings,True,0.35,neutral_texture,153,2.04,0.0454146923337941,4.7925825675671785,7.128758439731472,75,126.0,12,10.499999125000073,0,0,1.3157831791862378,0.63,0.37,0.37,0.0,0.0,0.235,29,0,0.475,1.0,0.05,5.909058740056833,1.5748031496062993,1.0,3.0,7.699999999999974,10.0,1.0,1.0,1.0,0.5328267294113371,0.17524889523984918,0.6793841867239084,1.4015198117659884,1.0873041903545113,0.8157485825030306
Ipsundrum_Affect,humphrey_barrett,3,feelings,True,0.35,neutral_texture,171,1.8,0.19293469635803695,4.929220689596916,7.294484674870104,95,131.0,9,14.555553938271785,0,0,1.233347544458767,0.675,0.325,0.325,0.02,0.02,0.145,27,0,0.465,1.0,0.055,6.245892171231298,1.5267175572519085,1.0,3.0,4.699999999999989,11.0,1.0204081632653061,1.0,3.0,0.5251100402181573,0.18171513664715924,0.6840615145712923,1.4246698793455284,1.0905381055394618,0.8168674951052111
Ipsundrum_Affect,humphrey_barrett,4,feelings,True,0.35,neutral_texture,156,1.95,0.0,4.66126117578857,7.172532877242286,80,139.0,13,10.692306869822549,0,0,1.1587212463394043,0.71,0.29,0.29,0.015,0.015,0.22,21,0,0.445,1.0,0.06,5.98086766012654,1.4285714285714286,1.0,2.0,4.0,12.0,1.015228426395939,1.0,3.0,0.5474946615181584,0.17269648747758334,0.6699924285065305,1.3575160154455248,1.0860145931949992,0.8172239569984192
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,0,feelings,True,0.35,neutral_texture,101,2.1956521739130435,0.0454146923337941,4.368745100496008,5.985969819381097,46,117.0,17,6.882352536332204,42,2,1.0076975753030093,0.77,0.23,0.23,0.185,0.185,0.495,18,0,0.71,1.0,0.19,4.861359403183692,1.694915254237288,1.0,3.0,5.0,34.0,1.2195121951219512,1.0,34.0,0.568695093982964,0.16158007535036983,0.6301852360005291,1.2939147180511084,1.0,0.7373967062236804
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,1,feelings,True,0.35,neutral_texture,63,2.032258064516129,0.16866093149667025,3.4740379291176224,4.154329149501754,31,57.0,15,3.7999997466666837,47,3,1.5526471623162073,0.43,0.57,0.57,0.145,0.145,0.685,116,0,0.715,1.0,0.57,2.893655507260979,3.4482758620689653,1.0,4.0,43.979999999999976,93.0,1.1627906976744187,2.0,2.0,0.5630840982018372,0.15975067106501917,0.6350574472172987,1.3107477053944883,1.0,0.7380577747648429
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,2,feelings,True,0.35,neutral_texture,164,2.0,0.0,4.565026869329037,7.248758439731468,82,128.0,10,12.79999872000013,0,0,1.2342365506428905,0.675,0.325,0.325,0.035,0.035,0.18,18,0,0.345,1.0,0.045,6.065256862919428,1.550387596899225,1.0,2.0,4.719999999999999,9.0,1.0362694300518134,1.0,4.0,0.5561360391416007,0.16706812729677467,0.6382748707619653,1.3315918825751976,1.0,0.737000309322232
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,3,feelings,True,0.35,neutral_texture,158,1.7954545454545454,0.11236071009937675,4.928465551717675,7.1446138326149216,88,139.0,3,46.33331788889404,0,0,1.0982227692910183,0.73,0.27,0.27,0.035,0.035,0.21,25,0,0.6,1.0,0.075,6.075061362832888,1.4388489208633093,1.0,3.0,6.0,9.0,1.0362694300518134,1.0,3.0,0.5577377706353404,0.16792137691339917,0.6388655271388725,1.326786688093979,1.0,0.7386221644631855
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,4,feelings,True,0.35,neutral_texture,146,1.7804878048780488,0.1261351476101941,4.636436276649429,7.058562939644932,82,152.0,16,9.499999406250037,0,0,0.9511391111759744,0.79,0.21,0.21,0.03,0.03,0.27,13,0,0.515,1.0,0.035,6.032274618629424,1.3157894736842106,1.0,2.0,5.0,7.0,1.0309278350515463,1.0,3.0,0.5706211603126486,0.16575631021914358,0.6282713102599601,1.2881365190620542,1.0,0.7363417960292711
Ipsundrum_Affect_modulation_only,humphrey_barrett_modulation_only,0,feelings,True,0.35,neutral_texture,152,1.876543209876543,1.0089372824905964,4.640858887382855,7.085113159965467,81,131.0,9,14.555553938271785,0,0,1.2702771017482783,0.655,0.345,0.345,0.0,0.0,0.24,28,0,0.28,1.0,0.08,5.9392405203300775,1.5267175572519085,1.0,3.0,5.0,12.0,1.0,1.0,1.0,0.45222977048589885,0.22103523902218108,0.7286287976839714,1.6433106885423034,1.1100960426832658,0.8216765819501518
Ipsundrum_Affect_modulation_only,humphrey_barrett_modulation_only,1,feelings,True,0.35,neutral_texture,108,2.25,0.6343095546405662,4.397505680762776,6.408241865628986,48,84.0,8,10.499998687500165,0,0,1.5389490393112863,0.425,0.575,0.575,0.005,0.005,0.46,59,0,0.225,1.0,0.12,4.801455562941694,2.380952380952381,2.0,4.0,8.170000000000002,9.0,1.0050251256281406,1.0,2.0,0.5047302700775744,0.18748973089337553,0.6984469495606028,1.4858091897672767,1.0934026240025112,0.816063752171253
Ipsundrum_Affect_modulation_only,humphrey_barrett_modulation_only,2,feelings,True,0.35,neutral_texture,165,2.1710526315789473,0.7162822481419997,4.759172228461173,7.228049892481086,76,121.0,9,13.444442950617452,0,0,1.3607105087030278,0.605,0.395,0.395,0.0,0.0,0.175,29,0,0.19,1.0,0.065,5.969354143559565,1.6528925619834711,1.0,3.0,4.799999999999997,13.0,1.0,1.0,1.0,0.46918019448854326,0.20567634595092557,0.7191637504462457,1.5924594165343704,1.1023872732643503,0.8180153589115862
Ipsundrum_Affect_modulation_only,humphrey_barrett_modulation_only,3,feelings,True,0.35,neutral_texture,179,1.7378640776699028,0.37871892434950694,4.717119808073108,7.397759785030372,103,139.0,13,10.692306869822549,0,0,1.1894136484272613,0.695,0.305,0.305,0.0,0.0,0.105,17,0,0.17,1.0,0.05,6.399436020416617,1.4388489208633093,1.0,2.0,3.6200000000000045,10.0,1.0,1.0,1.0,0.5102218680102429,0.19093244245272678,0.6954200185052474,1.4693343959692715,1.0950695981499112,0.8176427293691588
Ipsundrum_Affect_modulation_only,humphrey_barrett_modulation_only,4,feelings,True,0.35,neutral_texture,144,2.4827586206896552,0.8185997536789695,4.673111255298159,7.006111814666564,58,120.0,14,8.571427959183717,0,0,1.3625395427226066,0.605,0.395,0.395,0.005,0.005,0.28,36,0,0.365,1.0,0.065,5.549840576492688,1.6528925619834711,1.0,3.0,4.0,13.0,1.0050251256281406,1.0,2.0,0.4571023436700429,0.212472053493011,0.7246578360804328,1.6286929689898713,1.10578813007011,0.8218047135004792
