model,familiarize_side,phase,morning_idx,scenic_rate_entry,scenic_time_share_barrier,split_delta_novelty,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull,n
Ipsundrum+affect,both,post,1,1.0,1.0,0.0,0.7412480598535145,,0.10396526031767138,,4
Ipsundrum+affect,both,post,2,1.0,1.0,-0.009253907439323014,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,both,post,3,1.0,1.0,-0.016108408951479667,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,both,post,4,1.0,1.0,-0.0215291895396958,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,both,post,5,1.0,1.0,-0.02599331984407134,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,dull,post,1,1.0,1.0,0.42191311905569695,0.7412480598535145,,0.10396526031767138,,4
Ipsundrum+affect,dull,post,2,1.0,1.0,0.15894838932775296,0.7463221777080505,,0.1033832209698009,,4
Ipsundrum+affect,dull,post,3,1.0,1.0,0.08350960776717423,0.7489062338499607,,0.10133989599183577,,4
Ipsundrum+affect,dull,post,4,1.0,1.0,0.06007744044592719,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,dull,post,5,1.0,1.0,0.04489159021472004,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,none,post,1,1.0,1.0,0.0,0.7412480598535145,,0.10396526031767138,,4
Ipsundrum+affect,none,post,2,1.0,1.0,-0.262964729727944,0.7463221777080505,,0.1033832209698009,,4
Ipsundrum+affect,none,post,3,1.0,1.0,-0.33840351128852275,0.7489062338499607,,0.10133989599183577,,4
Ipsundrum+affect,none,post,4,1.0,1.0,-0.3618356786097698,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,none,post,5,1.0,1.0,-0.37702152884097695,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,scenic,post,1,1.0,1.0,-0.42191311905569695,0.7412480598535145,,0.10396526031767138,,4
Ipsundrum+affect,scenic,post,2,1.0,1.0,-0.4255879700403438,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,scenic,post,3,1.0,1.0,-0.42867204486134036,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,scenic,post,4,1.0,1.0,-0.4313255826823488,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,scenic,post,5,1.0,1.0,-0.433650960894586,0.7492437460726175,,0.10126542268413274,,4
Ipsundrum+affect,both,baseline,0,1.0,1.0,0.0,0.7806443735131365,,0.09788016339220715,,4
Ipsundrum+affect,dull,baseline,0,1.0,1.0,0.0,0.7806443735131365,,0.09788016339220715,,4
Ipsundrum+affect,none,baseline,0,1.0,1.0,0.0,0.7806443735131365,,0.09788016339220715,,4
Ipsundrum+affect,scenic,baseline,0,1.0,1.0,0.0,0.7806443735131365,,0.09788016339220715,,4
Ipsundrum+affect_modulation_only,both,baseline,0,1.0,1.0,0.0,0.7439426880892912,0.5860547141564618,0.12487139687947477,0.14237671824685022,5
Ipsundrum+affect_modulation_only,both,post,1,0.8,0.8,0.0,0.7346283223283216,0.571630339678465,0.10711464626453421,0.18887294163724902,5
Ipsundrum+affect_modulation_only,both,post,2,0.8,0.8,-0.0025346541838098787,0.739164120186902,0.571630339678465,0.10510495551492112,0.18887294163724902,5
Ipsundrum+affect_modulation_only,both,post,3,0.6,0.6,-0.0053032630736175815,0.7115802867729464,0.590048461898429,0.11365166625198972,0.15555059098433668,5
Ipsundrum+affect_modulation_only,both,post,4,0.8,0.8,-0.006359471115780643,0.739949843353524,0.571630339678465,0.10395036076179745,0.18887294163724902,5
Ipsundrum+affect_modulation_only,both,post,5,0.8,0.8,-0.008559063942370987,0.734416743840858,0.571630339678465,0.10767672584236707,0.18887294163724902,5
Ipsundrum+affect_modulation_only,dull,baseline,0,1.0,1.0,0.0,0.7439426880892912,0.5860547141564618,0.12487139687947477,0.14237671824685022,5
Ipsundrum+affect_modulation_only,dull,post,1,0.8,0.8,0.42191311905569695,0.7342690937570802,0.571630339678465,0.10842706959223478,0.18887294163724902,5
Ipsundrum+affect_modulation_only,dull,post,2,0.8,0.8,0.22636323965366484,0.7327363087590679,0.571630339678465,0.10787479618996813,0.18887294163724902,5
Ipsundrum+affect_modulation_only,dull,post,3,0.8,0.8,0.18429931465747268,0.7329577598043527,0.571630339678465,0.11160490690891137,0.18887294163724902,5
Ipsundrum+affect_modulation_only,dull,post,4,0.8,0.8,0.1480835049259392,0.7346573826793996,0.571630339678465,0.10746456774324513,0.18887294163724902,5
Ipsundrum+affect_modulation_only,dull,post,5,0.8,0.8,0.13157582054016834,0.734416743840858,0.571630339678465,0.10767672584236707,0.18887294163724902,5
Ipsundrum+affect_modulation_only,none,baseline,0,1.0,1.0,0.0,0.7439426880892912,0.5860547141564618,0.12487139687947477,0.14237671824685022,5
Ipsundrum+affect_modulation_only,none,post,1,0.8,0.8,0.0,0.7342690937570802,0.571630339678465,0.10842706959223478,0.18887294163724902,5
Ipsundrum+affect_modulation_only,none,post,2,0.8,0.8,-0.13208883792047948,0.7327363087590679,0.5694354690560769,0.10787479618996813,0.18919689445304472,5
Ipsundrum+affect_modulation_only,none,post,3,0.8,0.8,-0.16748219314908147,0.7329577598043527,0.571630339678465,0.11160490690891137,0.18887294163724902,5
Ipsundrum+affect_modulation_only,none,post,4,0.8,0.8,-0.1991076573935972,0.7346573826793996,0.571630339678465,0.10746456774324513,0.18887294163724902,5
Ipsundrum+affect_modulation_only,none,post,5,0.8,0.8,-0.21316109836879985,0.734416743840858,0.571630339678465,0.10767672584236707,0.18887294163724902,5
Ipsundrum+affect_modulation_only,scenic,baseline,0,1.0,1.0,0.0,0.7439426880892912,0.5860547141564618,0.12487139687947477,0.14237671824685022,5
Ipsundrum+affect_modulation_only,scenic,post,1,0.8,0.8,-0.42191311905569695,0.7346283223283216,0.571630339678465,0.10711464626453421,0.18887294163724902,5
Ipsundrum+affect_modulation_only,scenic,post,2,0.8,0.8,-0.35939570446231944,0.739164120186902,0.5694354690560769,0.10510495551492112,0.18919689445304472,5
Ipsundrum+affect_modulation_only,scenic,post,3,0.6,0.6,-0.3538123909988557,0.7107945636063244,0.5879939055861667,0.11480626100511339,0.16192557139097513,5
Ipsundrum+affect_modulation_only,scenic,post,4,0.8,0.8,-0.3209622602176995,0.7487656324423513,0.571630339678465,0.10122458448986803,0.18887294163724902,5
Ipsundrum+affect_modulation_only,scenic,post,5,0.8,0.8,-0.3196228886955203,0.739949843353524,0.571630339678465,0.10395036076179745,0.18887294163724902,5
Ipsundrum+affect_readout_only,both,post,1,1.0,1.0,0.0,0.8266446650810497,,0.08248875706929214,,5
Ipsundrum+affect_readout_only,both,post,2,0.8,0.8,-0.00710404233012186,0.8407364363306706,0.6295553647881714,0.08078368280869348,0.1507363639872093,5
Ipsundrum+affect_readout_only,both,post,3,1.0,1.0,-0.010750806985166223,0.8266446650810497,,0.08248875706929214,,5
Ipsundrum+affect_readout_only,both,post,4,1.0,1.0,-0.015316635570419618,0.8266446650810497,,0.08248875706929214,,5
Ipsundrum+affect_readout_only,both,post,5,1.0,1.0,-0.019180232718973032,0.8284057084230971,,0.08034918198084601,,5
Ipsundrum+affect_readout_only,dull,post,1,1.0,1.0,0.42191311905569695,0.8284057084230971,,0.08034918198084601,,5
Ipsundrum+affect_readout_only,dull,post,2,0.8,0.8,0.18225201339199654,0.8387681737327755,0.6295553647881714,0.08062154374175409,0.1507363639872093,5
Ipsundrum+affect_readout_only,dull,post,3,1.0,1.0,0.12230652346840828,0.8284057084230971,,0.08034918198084601,,5
Ipsundrum+affect_readout_only,dull,post,4,1.0,1.0,0.08973700757255436,0.8284057084230971,,0.08034918198084601,,5
Ipsundrum+affect_readout_only,dull,post,5,1.0,1.0,0.06984788865610075,0.8284057084230971,,0.08034918198084601,,5
Ipsundrum+affect_readout_only,none,post,1,1.0,1.0,0.0,0.8284057084230971,,0.08034918198084601,,5
Ipsundrum+affect_readout_only,none,post,2,0.8,0.8,-0.23966110566370044,0.8387681737327755,0.629553196807431,0.08062154374175409,0.1501217546145058,5
Ipsundrum+affect_readout_only,none,post,3,1.0,1.0,-0.25770914166185144,0.8284057084230971,,0.08034918198084601,,5
Ipsundrum+affect_readout_only,none,post,4,1.0,1.0,-0.2902786575577053,0.8284057084230971,,0.08034918198084601,,5
Ipsundrum+affect_readout_only,none,post,5,1.0,1.0,-0.31016777647415894,0.8284057084230971,,0.08034918198084601,,5
Ipsundrum+affect_readout_only,scenic,post,1,1.0,1.0,-0.42191311905569695,0.8266446650810497,,0.08248875706929214,,5
Ipsundrum+affect_readout_only,scenic,post,2,0.8,0.8,-0.4247086694226674,0.8407364363306706,0.629553196807431,0.08078368280869348,0.1501217546145058,5
Ipsundrum+affect_readout_only,scenic,post,3,1.0,1.0,-0.3844963702820031,0.8266446650810497,,0.08248875706929214,,5
Ipsundrum+affect_readout_only,scenic,post,4,1.0,1.0,-0.38662023160763453,0.8266446650810497,,0.08248875706929214,,5
Ipsundrum+affect_readout_only,scenic,post,5,1.0,1.0,-0.3885155225189783,0.8266446650810497,,0.08248875706929214,,5
Ipsundrum+affect_readout_only,both,baseline,0,0.75,0.75,0.0,0.8344050465459677,0.6367914155209474,0.07814721482360126,0.11746138914369551,4
Ipsundrum+affect_readout_only,dull,baseline,0,0.75,0.75,0.0,0.8344050465459677,0.6367914155209474,0.07814721482360126,0.11746138914369551,4
Ipsundrum+affect_readout_only,none,baseline,0,0.75,0.75,0.0,0.8344050465459677,0.6367914155209474,0.07814721482360126,0.11746138914369551,4
Ipsundrum+affect_readout_only,scenic,baseline,0,0.75,0.75,0.0,0.8344050465459677,0.6367914155209474,0.07814721482360126,0.11746138914369551,4
Recon,both,post,1,,,,,,,,0
Ipsundrum,both,post,1,,,,,,,,0
Perspective,both,post,1,,,,,,,,0
Perspective+plastic,both,post,1,,,,,,,,0
GW-lite,both,post,1,,,,,,,,0
Recon,both,post,2,,,,,,,,0
Ipsundrum,both,post,2,,,,,,,,0
Perspective,both,post,2,,,,,,,,0
Perspective+plastic,both,post,2,,,,,,,,0
GW-lite,both,post,2,,,,,,,,0
Recon,both,post,3,,,,,,,,0
Ipsundrum,both,post,3,,,,,,,,0
Perspective,both,post,3,,,,,,,,0
Perspective+plastic,both,post,3,,,,,,,,0
GW-lite,both,post,3,,,,,,,,0
Recon,both,post,4,,,,,,,,0
Ipsundrum,both,post,4,,,,,,,,0
Perspective,both,post,4,,,,,,,,0
Perspective+plastic,both,post,4,,,,,,,,0
GW-lite,both,post,4,,,,,,,,0
Recon,both,post,5,,,,,,,,0
Ipsundrum,both,post,5,,,,,,,,0
Perspective,both,post,5,,,,,,,,0
Perspective+plastic,both,post,5,,,,,,,,0
GW-lite,both,post,5,,,,,,,,0
Recon,dull,post,1,,,,,,,,0
Ipsundrum,dull,post,1,,,,,,,,0
Perspective,dull,post,1,,,,,,,,0
Perspective+plastic,dull,post,1,,,,,,,,0
GW-lite,dull,post,1,,,,,,,,0
Recon,dull,post,2,,,,,,,,0
Ipsundrum,dull,post,2,,,,,,,,0
Perspective,dull,post,2,,,,,,,,0
Perspective+plastic,dull,post,2,,,,,,,,0
GW-lite,dull,post,2,,,,,,,,0
Recon,dull,post,3,,,,,,,,0
Ipsundrum,dull,post,3,,,,,,,,0
Perspective,dull,post,3,,,,,,,,0
Perspective+plastic,dull,post,3,,,,,,,,0
GW-lite,dull,post,3,,,,,,,,0
Recon,dull,post,4,,,,,,,,0
Ipsundrum,dull,post,4,,,,,,,,0
Perspective,dull,post,4,,,,,,,,0
Perspective+plastic,dull,post,4,,,,,,,,0
GW-lite,dull,post,4,,,,,,,,0
Recon,dull,post,5,,,,,,,,0
Ipsundrum,dull,post,5,,,,,,,,0
Perspective,dull,post,5,,,,,,,,0
Perspective+plastic,dull,post,5,,,,,,,,0
GW-lite,dull,post,5,,,,,,,,0
Recon,none,post,1,,,,,,,,0
Ipsundrum,none,post,1,,,,,,,,0
Perspective,none,post,1,,,,,,,,0
Perspective+plastic,none,post,1,,,,,,,,0
GW-lite,none,post,1,,,,,,,,0
Recon,none,post,2,,,,,,,,0
Ipsundrum,none,post,2,,,,,,,,0
Perspective,none,post,2,,,,,,,,0
Perspective+plastic,none,post,2,,,,,,,,0
GW-lite,none,post,2,,,,,,,,0
Recon,none,post,3,,,,,,,,0
Ipsundrum,none,post,3,,,,,,,,0
Perspective,none,post,3,,,,,,,,0
Perspective+plastic,none,post,3,,,,,,,,0
GW-lite,none,post,3,,,,,,,,0
Recon,none,post,4,,,,,,,,0
Ipsundrum,none,post,4,,,,,,,,0
Perspective,none,post,4,,,,,,,,0
Perspective+plastic,none,post,4,,,,,,,,0
GW-lite,none,post,4,,,,,,,,0
Recon,none,post,5,,,,,,,,0
Ipsundrum,none,post,5,,,,,,,,0
Perspective,none,post,5,,,,,,,,0
Perspective+plastic,none,post,5,,,,,,,,0
GW-lite,none,post,5,,,,,,,,0
Recon,scenic,post,1,,,,,,,,0
Ipsundrum,scenic,post,1,,,,,,,,0
Perspective,scenic,post,1,,,,,,,,0
Perspective+plastic,scenic,post,1,,,,,,,,0
GW-lite,scenic,post,1,,,,,,,,0
Recon,scenic,post,2,,,,,,,,0
Ipsundrum,scenic,post,2,,,,,,,,0
Perspective,scenic,post,2,,,,,,,,0
Perspective+plastic,scenic,post,2,,,,,,,,0
GW-lite,scenic,post,2,,,,,,,,0
Recon,scenic,post,3,,,,,,,,0
Ipsundrum,scenic,post,3,,,,,,,,0
Perspective,scenic,post,3,,,,,,,,0
Perspective+plastic,scenic,post,3,,,,,,,,0
GW-lite,scenic,post,3,,,,,,,,0
Recon,scenic,post,4,,,,,,,,0
Ipsundrum,scenic,post,4,,,,,,,,0
Perspective,scenic,post,4,,,,,,,,0
Perspective+plastic,scenic,post,4,,,,,,,,0
GW-lite,scenic,post,4,,,,,,,,0
Recon,scenic,post,5,,,,,,,,0
Ipsundrum,scenic,post,5,,,,,,,,0
Perspective,scenic,post,5,,,,,,,,0
Perspective+plastic,scenic,post,5,,,,,,,,0
GW-lite,scenic,post,5,,,,,,,,0
Recon,both,baseline,0,,,,,,,,0
Ipsundrum,both,baseline,0,,,,,,,,0
Perspective,both,baseline,0,,,,,,,,0
Perspective+plastic,both,baseline,0,,,,,,,,0
GW-lite,both,baseline,0,,,,,,,,0
Recon,dull,baseline,0,,,,,,,,0
Ipsundrum,dull,baseline,0,,,,,,,,0
Perspective,dull,baseline,0,,,,,,,,0
Perspective+plastic,dull,baseline,0,,,,,,,,0
GW-lite,dull,baseline,0,,,,,,,,0
Recon,none,baseline,0,,,,,,,,0
Ipsundrum,none,baseline,0,,,,,,,,0
Perspective,none,baseline,0,,,,,,,,0
Perspective+plastic,none,baseline,0,,,,,,,,0
GW-lite,none,baseline,0,,,,,,,,0
Recon,scenic,baseline,0,,,,,,,,0
Ipsundrum,scenic,baseline,0,,,,,,,,0
Perspective,scenic,baseline,0,,,,,,,,0
Perspective+plastic,scenic,baseline,0,,,,,,,,0
GW-lite,scenic,baseline,0,,,,,,,,0
