model,arch_seed,env_seed,delay,success_rate,fork_score_margin,R
perspective,0,0,6,0.5,0.00016198484180796058,0.014530935038586754
perspective,0,0,12,0.5,0.028074458445837558,0.010970261242708113
perspective,0,0,18,0.5,0.011589616059511254,0.00791878966736198
perspective,0,1,6,0.5,0.00016198484180796058,0.014530935038586754
perspective,0,1,12,0.5,0.028074458445837558,0.010970261242708113
perspective,0,1,18,0.5,0.011589616059511254,0.00791878966736198
perspective,0,2,6,0.5,0.00016198484180796058,0.014530935038586754
perspective,0,2,12,0.5,0.028074458445837558,0.010970261242708113
perspective,0,2,18,0.5,0.011589616059511254,0.00791878966736198
perspective,0,3,6,0.5,0.00016198484180796058,0.014530935038586754
perspective,0,3,12,0.5,0.028074458445837558,0.010970261242708113
perspective,0,3,18,0.5,0.011589616059511254,0.00791878966736198
perspective,1,0,6,0.5,0.00013034753898166773,0.0021677704733007175
perspective,1,0,12,0.5,0.02823650394112104,0.0006600940997912169
perspective,1,0,18,0.5,0.011964819560537687,5.7822659773304474e-05
perspective,1,1,6,0.5,0.00013034753898166773,0.0021677704733007175
perspective,1,1,12,0.5,0.02823650394112104,0.0006600940997912169
perspective,1,1,18,0.5,0.011964819560537687,5.7822659773304474e-05
perspective,1,2,6,0.5,0.00013034753898166773,0.0021677704733007175
perspective,1,2,12,0.5,0.02823650394112104,0.0006600940997912169
perspective,1,2,18,0.5,0.011964819560537687,5.7822659773304474e-05
perspective,1,3,6,0.5,0.00013034753898166773,0.0021677704733007175
perspective,1,3,12,0.5,0.02823650394112104,0.0006600940997912169
perspective,1,3,18,0.5,0.011964819560537687,5.7822659773304474e-05
perspective,2,0,6,0.5,8.757897283584448e-05,0.007641371970354097
perspective,2,0,12,0.5,0.028619965868419417,0.004858145396765878
perspective,2,0,18,0.5,0.012109680401961254,0.0031462059342521054
perspective,2,1,6,0.5,8.757897283584448e-05,0.007641371970354097
perspective,2,1,12,0.5,0.028619965868419417,0.004858145396765878
perspective,2,1,18,0.5,0.012109680401961254,0.0031462059342521054
perspective,2,2,6,0.5,8.757897283584448e-05,0.007641371970354097
perspective,2,2,12,0.5,0.028619965868419417,0.004858145396765878
perspective,2,2,18,0.5,0.012109680401961254,0.0031462059342521054
perspective,2,3,6,0.5,8.757897283584448e-05,0.007641371970354097
perspective,2,3,12,0.5,0.028619965868419417,0.004858145396765878
perspective,2,3,18,0.5,0.012109680401961254,0.0031462059342521054
perspective,3,0,6,0.5,0.0001811576002977433,0.009377463146145862
perspective,3,0,12,0.5,0.027177561544130868,0.0038249517817775178
perspective,3,0,18,0.5,0.01200262984354633,0.0075374653430231794
perspective,3,1,6,0.5,0.0001811576002977433,0.009377463146145862
perspective,3,1,12,0.5,0.027177561544130868,0.0038249517817775178
perspective,3,1,18,0.5,0.01200262984354633,0.0075374653430231794
perspective,3,2,6,0.5,0.0001811576002977433,0.009377463146145862
perspective,3,2,12,0.5,0.027177561544130868,0.0038249517817775178
perspective,3,2,18,0.5,0.01200262984354633,0.0075374653430231794
perspective,3,3,6,0.5,0.0001811576002977433,0.009377463146145862
perspective,3,3,12,0.5,0.027177561544130868,0.0038249517817775178
perspective,3,3,18,0.5,0.01200262984354633,0.0075374653430231794
perspective_plastic,0,0,6,0.5,3.4102574178074274e-05,0.01458106052694326
perspective_plastic,0,0,12,0.5,0.02799179032875776,0.011097568260504481
perspective_plastic,0,0,18,0.5,0.011525637884087003,0.00809229077788659
perspective_plastic,0,1,6,0.5,3.4102574178074274e-05,0.01458106052694326
perspective_plastic,0,1,12,0.5,0.02799179032875776,0.011097568260504481
perspective_plastic,0,1,18,0.5,0.011525637884087003,0.00809229077788659
perspective_plastic,0,2,6,0.5,3.4102574178074274e-05,0.01458106052694326
perspective_plastic,0,2,12,0.5,0.02799179032875776,0.011097568260504481
perspective_plastic,0,2,18,0.5,0.011525637884087003,0.00809229077788659
perspective_plastic,0,3,6,0.5,3.4102574178074274e-05,0.01458106052694326
perspective_plastic,0,3,12,0.5,0.02799179032875776,0.011097568260504481
perspective_plastic,0,3,18,0.5,0.011525637884087003,0.00809229077788659
perspective_plastic,1,0,6,0.5,0.00010570378874974473,0.002178914816472359
perspective_plastic,1,0,12,0.5,0.02822129850080146,0.0006689004314969493
perspective_plastic,1,0,18,0.5,0.011950927390866617,6.406647170807689e-05
