model,model_display,delay,metric,mean,ci_low,ci_high,n
perspective,Perspective,6,success_rate,0.375,0.25,0.46875,16
perspective,Perspective,6,fork_score_margin,-0.006830478943716321,-0.013005865732297606,-0.0016799161284064695,16
perspective,Perspective,6,R,0.11032443610213566,0.0688441194477229,0.15793983095422,16
perspective,Perspective,6,cue_to_fork_distance,0.235820818397362,0.20649680022546868,0.2675523563601535,16
perspective,Perspective,12,success_rate,0.375,0.25,0.46875,16
perspective,Perspective,12,fork_score_margin,-0.0024947437704653554,-0.005729289902948152,0.00012581455580623884,16
perspective,Perspective,12,R,0.09689845787231441,0.05435117686995316,0.14692511199099223,16
perspective,Perspective,12,cue_to_fork_distance,0.3635507913778333,0.32546085771541783,0.4021039444899873,16
perspective,Perspective,18,success_rate,0.5,0.5,0.5,16
perspective,Perspective,18,fork_score_margin,-0.0005827965988076909,-0.0023690204204360674,0.00095548498859624,16
perspective,Perspective,18,R,0.08998505601108008,0.043360395205338076,0.14573875671699404,16
perspective,Perspective,18,cue_to_fork_distance,0.45086922551775827,0.4159313750696678,0.48241081911227945,16
perspective_plastic,Perspective+plastic,6,success_rate,0.375,0.25,0.46875,16
perspective_plastic,Perspective+plastic,6,fork_score_margin,-0.006909932139705905,-0.013116729988776946,-0.0017417450993789554,16
perspective_plastic,Perspective+plastic,6,R,0.11054272101451192,0.06897875778847498,0.15828674281097557,16
perspective_plastic,Perspective+plastic,6,cue_to_fork_distance,0.23606798004997478,0.2067503404558406,0.2677924468838542,16
perspective_plastic,Perspective+plastic,12,success_rate,0.375,0.25,0.46875,16
perspective_plastic,Perspective+plastic,12,fork_score_margin,-0.002632565862307666,-0.005946964336798314,4.645461884559415e-05,16
perspective_plastic,Perspective+plastic,12,R,0.0978328620465174,0.05485483596051874,0.14849082663746696,16
perspective_plastic,Perspective+plastic,12,cue_to_fork_distance,0.36483661716911897,0.3267560346513989,0.40341930165963397,16
perspective_plastic,Perspective+plastic,18,success_rate,0.5,0.5,0.5,16
perspective_plastic,Perspective+plastic,18,fork_score_margin,-0.0007809555557697426,-0.0027059783542224347,0.0008586734373092816,16
perspective_plastic,Perspective+plastic,18,R,0.09188833251186262,0.044295402661912356,0.14895455877971625,16
perspective_plastic,Perspective+plastic,18,cue_to_fork_distance,0.4535742839407136,0.41878980088606016,0.4851843027752728,16
gw_lite,GW-lite,6,success_rate,0.875,0.75,0.96875,16
gw_lite,GW-lite,6,fork_score_margin,0.08601537270949247,0.06936889482695204,0.10182498792309025,16
gw_lite,GW-lite,6,R,0.027554483018199575,0.01454385620971935,0.04237590988273047,16
gw_lite,GW-lite,6,cue_to_fork_distance,0.1636609943587749,0.14771757635608554,0.17834947903039705,16
gw_lite,GW-lite,12,success_rate,0.875,0.75,0.96875,16
gw_lite,GW-lite,12,fork_score_margin,0.08292866839002089,0.06733468980124171,0.09742549331895747,16
gw_lite,GW-lite,12,R,0.014158789452021769,0.005464227193926817,0.024832368067152215,16
gw_lite,GW-lite,12,cue_to_fork_distance,0.1738317802393488,0.15374859903604451,0.19277078024322122,16
gw_lite,GW-lite,18,success_rate,0.875,0.75,0.96875,16
gw_lite,GW-lite,18,fork_score_margin,0.08197397004132305,0.06682083210846965,0.09607075409058598,16
gw_lite,GW-lite,18,R,0.00828293990903534,0.0028088626242673657,0.015234552759477502,16
gw_lite,GW-lite,18,cue_to_fork_distance,0.17748015192607097,0.15573507366936123,0.19889640752450988,16
humphrey_barrett,Ipsundrum+affect,6,success_rate,0.5,0.5,0.5,16
humphrey_barrett,Ipsundrum+affect,6,fork_score_margin,-0.0009691595687750243,-0.0009691595687750243,-0.0009691595687750243,16
humphrey_barrett,Ipsundrum+affect,6,R,0.05994457230063732,0.05994457230063732,0.05994457230063732,16
humphrey_barrett,Ipsundrum+affect,6,cue_to_fork_distance,0.6376848938237125,0.6376848938237125,0.6376848938237125,16
humphrey_barrett,Ipsundrum+affect,12,success_rate,0.5,0.5,0.5,16
humphrey_barrett,Ipsundrum+affect,12,fork_score_margin,-0.0017454960416752319,-0.0017454960416752319,-0.0017454960416752319,16
humphrey_barrett,Ipsundrum+affect,12,R,0.0022365827473238564,0.0022365827473238564,0.0022365827473238564,16
humphrey_barrett,Ipsundrum+affect,12,cue_to_fork_distance,0.6816588869304852,0.6816588869304852,0.6816588869304852,16
humphrey_barrett,Ipsundrum+affect,18,success_rate,0.5,0.5,0.5,16
humphrey_barrett,Ipsundrum+affect,18,fork_score_margin,-0.0008884251516517172,-0.0008884251516517172,-0.0008884251516517172,16
humphrey_barrett,Ipsundrum+affect,18,R,0.0034647178361486564,0.0034647178361486564,0.0034647178361486564,16
humphrey_barrett,Ipsundrum+affect,18,cue_to_fork_distance,0.6769386477685506,0.6769386477685506,0.6769386477685506,16
humphrey,Ipsundrum,6,success_rate,0.5,0.5,0.5,16
humphrey,Ipsundrum,6,fork_score_margin,0.000293424513923668,0.000293424513923668,0.000293424513923668,16
humphrey,Ipsundrum,6,R,0.016689637008111102,0.016689637008111102,0.016689637008111102,16
humphrey,Ipsundrum,6,cue_to_fork_distance,0.46605947810962417,0.46605947810962417,0.46605947810962417,16
humphrey,Ipsundrum,12,success_rate,0.5,0.5,0.5,16
humphrey,Ipsundrum,12,fork_score_margin,-0.0005123146642712073,-0.0005123146642712073,-0.0005123146642712073,16
humphrey,Ipsundrum,12,R,0.0007729616024075847,0.0007729616024075847,0.0007729616024075847,16
humphrey,Ipsundrum,12,cue_to_fork_distance,0.4847876076370139,0.4847876076370139,0.4847876076370139,16
humphrey,Ipsundrum,18,success_rate,0.5,0.5,0.5,16
humphrey,Ipsundrum,18,fork_score_margin,-0.0005631178177085139,-0.0005631178177085139,-0.0005631178177085139,16
humphrey,Ipsundrum,18,R,0.0025737994637712314,0.0025737994637712314,0.0025737994637712314,16
humphrey,Ipsundrum,18,cue_to_fork_distance,0.4701919725256061,0.4701919725256061,0.4701919725256061,16
recon,Recon,6,success_rate,0.5,0.5,0.5,16
recon,Recon,6,fork_score_margin,0.0,0.0,0.0,16
recon,Recon,6,R,0.0,0.0,0.0,16
recon,Recon,6,cue_to_fork_distance,0.0,0.0,0.0,16
recon,Recon,12,success_rate,0.5,0.5,0.5,16
recon,Recon,12,fork_score_margin,0.0,0.0,0.0,16
recon,Recon,12,R,0.0,0.0,0.0,16
recon,Recon,12,cue_to_fork_distance,0.0,0.0,0.0,16
recon,Recon,18,success_rate,0.5,0.5,0.5,16
recon,Recon,18,fork_score_margin,0.0,0.0,0.0,16
recon,Recon,18,R,0.0,0.0,0.0,16
recon,Recon,18,cue_to_fork_distance,0.0,0.0,0.0,16
