model,arch_seed,env_seed,delay,context,stage,step,phi_norm,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,p_0,p_1,p_2,p_3,delta_w_in_0_0,delta_w_in_0_1,delta_w_in_0_2,delta_w_in_0_3,delta_w_in_0_4,delta_w_in_0_5,delta_w_in_1_0,delta_w_in_1_1,delta_w_in_1_2,delta_w_in_1_3,delta_w_in_1_4,delta_w_in_1_5,delta_w_in_2_0,delta_w_in_2_1,delta_w_in_2_2,delta_w_in_2_3,delta_w_in_2_4,delta_w_in_2_5,delta_w_in_3_0,delta_w_in_3_1,delta_w_in_3_2,delta_w_in_3_3,delta_w_in_3_4,delta_w_in_3_5,delta_w_in_4_0,delta_w_in_4_1,delta_w_in_4_2,delta_w_in_4_3,delta_w_in_4_4,delta_w_in_4_5,delta_w_in_5_0,delta_w_in_5_1,delta_w_in_5_2,delta_w_in_5_3,delta_w_in_5_4,delta_w_in_5_5,delta_w_in_6_0,delta_w_in_6_1,delta_w_in_6_2,delta_w_in_6_3,delta_w_in_6_4,delta_w_in_6_5,delta_w_in_7_0,delta_w_in_7_1,delta_w_in_7_2,delta_w_in_7_3,delta_w_in_7_4,delta_w_in_7_5,precision_vec_0,precision_vec_1,precision_vec_2,precision_vec_3,workspace_0,workspace_1,workspace_2,workspace_3,workspace_4,workspace_5,workspace_6,workspace_7,selector_logits_0,selector_logits_1,selector_logits_2,selector_logits_3,selector_weights_0,selector_weights_1,selector_weights_2,selector_weights_3,sel_touch,sel_smell,sel_vision,sel_efference
perspective,0,0,6,A,cue,0,0.056005491872935895,0.12886763557979417,0.018545158319230436,-0.3352789464546106,0.10704989886288273,0.009874288645980913,-0.04962676237149361,0.242040689254936,0.3327939827906717,0.023353034437514665,-0.04982206207161252,-0.010331505670515636,-0.0015076551337207661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,A,delay,1,0.1118585284419959,0.08509850002208748,0.0535817197496167,-0.2321096468013302,0.09896693882756102,0.07728502443613719,0.061666657563529285,0.2866179760622639,0.4451619890830818,0.037193552087737614,-0.10206320301555949,-0.025995373025034345,0.006026046780399037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1590587444165765,1.1560436037922706,1.159322808917597,1.1607953294639721,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,A,delay,2,0.16573075881212396,0.0543734271825763,0.039076626876355866,-0.19501529989807723,0.13009126495370527,0.12625668501510015,0.11594842477657445,0.2849479954042454,0.5000168458729186,0.0468099658216716,-0.15254564968431414,-0.04208227120580178,0.015310739001373877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971620045306811,1.0929663311690825,1.0997059502249265,1.0976081562647526,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,A,delay,3,0.2158825171591632,0.023710157925092713,0.004133048032626568,-0.1881564422969872,0.16236958616000885,0.16037978431187805,0.13774662408641972,0.26803116452466336,0.530680433793233,0.05452609251376947,-0.199627673363808,-0.05717486302179495,0.022627273718855603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0910228404799447,1.0865223266649153,1.0964902193940276,1.089591431160114,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,A,delay,4,0.26150767139467407,-0.008627980197937384,-0.03608609390152448,-0.19430330441191807,0.18763884056164765,0.18577300709356465,0.14070833849626266,0.24843675231259388,0.5499788827823147,0.06114710613448881,-0.2427244815134543,-0.07091321187381057,0.02652236915147709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865799910448568,1.0823236455558638,1.095198395076395,1.0839079589774134,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,A,delay,5,0.30243689833593307,-0.04129295698095909,-0.07476930345781463,-0.20466949770491089,0.20583586898161582,0.20616673711402214,0.1329486008344269,0.23028775189842124,0.5626452272619115,0.06681689020246251,-0.2816968364243978,-0.08326385889595289,0.026788109469921686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0828641478285455,1.0793106267337944,1.0947548289621634,1.0800627183203035,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,A,delay,6,0.3388267848536933,-0.07255069344330708,-0.1095774809655517,-0.21487242245663946,0.21862677970882782,0.22332284252371265,0.11926971487728714,0.21431448392282917,0.5706206858492181,0.07145058962355262,-0.3166052513017744,-0.0942987068424333,0.023817474944307464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0793336867566534,1.0769174038726235,1.0945957650868874,1.077577167595539,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,A,fork,7,0.37371473998788496,-0.08853904997916137,-0.14973340103035304,-0.28005219602339515,0.24987498435275124,0.2274544219690018,0.09339467888881295,0.22276871541025628,0.587211400246366,0.07944515828575663,-0.34963391236567654,-0.10415032806847223,0.016124831666208463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0757281280837612,1.0748633032274553,1.0944509433198797,1.0760544747797995,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,B,cue,0,0.03261438489825158,-0.03484686883690053,-0.007445373727704344,0.2861767187897186,-0.014389425754303544,0.0491400066517798,0.14104520965035808,0.136663577510877,0.11458833480590515,-0.01980345721093073,-0.016419556838594303,-0.010321666670030481,0.01718669645868831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,B,delay,1,0.07288208836196021,0.015972783737096003,-0.04374075750895354,0.10194967236162375,0.09726776120047756,0.06756024699985835,0.11799093859624489,0.2182298177633169,0.29849552829648074,-0.024088445574415064,-0.05768537143467115,-0.024483526753549322,0.028363716857303423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005312777069656,1.01005277055415,1.0103339353159957,1.0002107386505412,,,,,,,,,,,,,,,,,,,,
