model,base_model,seed,policy,curiosity,w_epistemic,assay_variant,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,action_entropy,move_ratio,turn_ratio,turn_in_place_rate,blocked_forward_rate,true_stall_rate,revisit_rate,scan_events,hazard_contacts,boundary_hugging_fraction,internal_actuator_fraction,max_occupancy_fraction,occupancy_entropy,dwell_mean,dwell_median,dwell_p90,dwell_p99,dwell_max,vp_dwell_mean,vp_dwell_p90,vp_dwell_max,mean_valence,mean_arousal,mean_Ns,mean_bb_err,mean_precision_eff,mean_alpha_eff
random,recon,0,random,False,0.0,neutral_texture,75,2.4193548387096775,1.965677743573535,4.1836942344888435,5.904191865876614,31,41.0,7,5.857142020408283,0,0,1.9886471245685131,0.21,0.495,0.495,0.005,0.3,0.625,86,16,0.315,0.0,0.18,4.323018090208468,4.761904761904762,3.0,8.0,25.129999999999974,28.0,1.4184397163120568,2.0,4.0,,,0.5968698109143692,,,
random,recon,1,random,False,0.0,neutral_texture,83,2.59375,2.466443234919614,4.5250555335808595,6.09967350533891,32,41.0,11,3.727272388429783,4,2,1.9801622973911048,0.205,0.49,0.49,0.0,0.305,0.585,76,34,0.0,0.0,0.095,4.641612359035682,4.761904761904762,4.0,9.899999999999999,11.589999999999996,12.0,1.4388489208633093,3.0,6.0,,,0.635729841755079,,,
random,recon,2,random,False,0.0,neutral_texture,81,2.892857142857143,1.2346930729318721,3.800642466845186,6.013563380781249,28,46.0,8,5.749999281250091,0,0,1.997819780897454,0.23,0.525,0.525,0.0,0.245,0.595,87,25,0.08,0.0,0.125,4.3691663163430015,4.3478260869565215,3.0,8.0,16.099999999999994,17.0,1.3245033112582782,2.0,5.0,,,0.5948028408395194,,,
random,recon,3,random,False,0.0,neutral_texture,87,2.6363636363636362,1.2313419561857681,4.483154071169787,6.1232250031366,33,46.0,12,3.833333013888916,0,0,1.9961760038664247,0.25,0.515,0.515,0.02,0.255,0.565,74,10,0.32,0.0,0.125,4.590939276376763,4.3478260869565215,3.0,8.5,19.599999999999966,25.0,1.342281879194631,2.0,5.0,,,0.5583132169867525,,,
random,recon,4,random,False,0.0,neutral_texture,91,2.3333333333333335,0.8464817102932365,4.1316174872524405,6.244338270373356,39,49.0,9,5.44444383950624,0,0,1.998695244388886,0.245,0.495,0.495,0.0,0.26,0.545,75,6,0.0,0.0,0.075,4.835411510763649,4.0,3.0,8.0,12.529999999999994,14.0,1.3513513513513513,2.0,5.0,,,0.5545073262742295,,,
random,recon,5,random,False,0.0,neutral_texture,93,2.90625,1.1852985948741515,4.29126877415398,6.255336925074452,32,51.0,3,16.99999433333522,0,0,1.999122423022286,0.255,0.49,0.49,0.0,0.255,0.535,77,20,0.0,0.0,0.105,4.66135370999832,3.9215686274509802,3.0,7.0,15.5,17.0,1.342281879194631,2.0,4.0,,,0.5964892112987039,,,
random,recon,6,random,False,0.0,neutral_texture,89,2.4722222222222223,1.9282657844634614,4.117098561654357,6.187093222615732,36,46.0,8,5.749999281250091,2,2,1.989295991342234,0.23,0.475,0.475,0.0,0.295,0.555,72,17,0.07,0.0,0.115,4.78657099766147,4.3478260869565215,4.0,8.0,12.649999999999991,14.0,1.4184397163120568,2.0,6.0,,,0.5967198942527268,,,
random,recon,7,random,False,0.0,neutral_texture,72,3.272727272727273,1.4565570499795855,3.9606659851725614,5.844143595682683,22,48.0,8,5.999999250000094,2,2,1.9981235622814706,0.24,0.5,0.5,0.0,0.26,0.64,78,8,0.0,0.0,0.115,4.11877239948009,4.166666666666667,3.0,10.0,19.710000000000008,23.0,1.3513513513513513,2.0,4.0,,,0.5741880249084835,,,
random,recon,8,random,False,0.0,neutral_texture,79,2.5483870967741935,0.30984673679542024,4.3801496207884165,6.003804392642168,31,42.0,10,4.199999580000043,2,2,1.9838801109247912,0.24,0.54,0.54,0.03,0.25,0.605,86,0,0.155,0.0,0.09,4.471530452671944,4.761904761904762,3.5,10.799999999999997,15.949999999999982,18.0,1.3333333333333333,2.0,6.0,,,0.528741103385033,,,
random,recon,9,random,False,0.0,neutral_texture,88,2.4444444444444446,0.5903565503192714,4.2116141254442,6.080240000427051,36,46.0,14,3.2857140510204252,0,0,1.9827130181991368,0.245,0.475,0.475,0.015,0.295,0.56,69,10,0.09,0.0,0.135,4.549436615151722,4.3478260869565215,3.0,9.0,16.399999999999977,20.0,1.4184397163120568,2.0,5.0,,,0.5459232598048176,,,
random,recon,10,random,False,0.0,neutral_texture,77,2.2,1.7560685332185528,4.606890882809179,5.866000498408775,35,46.0,10,4.599999540000046,4,2,1.9995699919979075,0.25,0.49,0.49,0.02,0.28,0.615,71,24,0.39,0.0,0.175,4.46253458491079,4.25531914893617,4.0,8.0,15.779999999999994,19.0,1.3793103448275863,2.0,6.0,,,0.6040650265487407,,,
random,recon,11,random,False,0.0,neutral_texture,90,2.5,0.7162822481419998,4.0550637510179985,6.212529350303647,36,50.0,8,6.249999218750098,0,0,1.9924829800211408,0.27,0.45,0.45,0.02,0.3,0.55,66,1,0.13,0.0,0.1,4.752699100856674,3.9215686274509802,2.0,10.0,18.5,20.0,1.4285714285714286,2.0,5.0,,,0.5360502123812202,,,
random,recon,12,random,False,0.0,neutral_texture,66,2.75,3.629611823669413,4.249739888053908,5.687431600260372,24,33.0,7,4.7142850408164225,5,2,1.9823270880674135,0.215,0.47,0.47,0.05,0.365,0.67,72,64,0.37,0.0,0.12,4.173752579006097,5.882352941176471,5.0,13.799999999999997,18.680000000000007,20.0,1.5625,3.0,9.0,,,0.7244259920912264,,,
random,recon,13,random,False,0.0,neutral_texture,75,2.586206896551724,1.7909732873907176,4.272662629722193,5.915919898395436,29,41.0,9,4.555555049382773,2,2,1.9884536196086964,0.205,0.505,0.505,0.0,0.29,0.625,82,39,0.0,0.0,0.12,4.325320216180842,4.761904761904762,4.0,9.0,19.079999999999956,24.0,1.408450704225352,2.0,5.0,,,0.6373202001887845,,,
random,recon,14,random,False,0.0,neutral_texture,92,2.2439024390243905,2.9584312986305017,4.431416147385861,6.22825558544228,41,60.0,8,7.499999062500118,3,2,1.9702289460717926,0.3,0.4,0.4,0.0,0.3,0.54,51,43,0.145,0.0,0.085,4.865786544614884,3.3333333333333335,2.0,8.0,13.0,13.0,1.4285714285714286,2.0,8.0,,,0.678107556136278,,,
random,recon,15,random,False,0.0,neutral_texture,78,2.888888888888889,0.4263420906998874,4.141119889473779,6.02477125538218,27,47.0,3,15.666661444446184,0,0,1.9934945548948975,0.235,0.485,0.485,0.0,0.28,0.61,72,10,0.0,0.0,0.095,4.437938914429332,4.25531914893617,4.0,8.0,13.0,13.0,1.3888888888888888,2.0,5.0,,,0.5437062073404896,,,
random,recon,16,random,False,0.0,neutral_texture,106,2.25531914893617,1.8597884715364503,4.298581518206064,6.453398847259933,47,60.0,8,7.499999062500118,0,0,1.9794573495313983,0.3,0.44,0.44,0.0,0.26,0.47,59,23,0.0,0.0,0.065,5.194211707137782,3.278688524590164,3.0,7.0,10.399999999999999,11.0,1.3513513513513513,2.0,5.0,,,0.5970878222094754,,,
random,recon,17,random,False,0.0,neutral_texture,109,2.422222222222222,1.2671959431120912,4.589948972056661,6.536544799675386,45,54.0,6,8.999998500000249,0,0,1.9713429844894872,0.29,0.525,0.525,0.02,0.205,0.455,70,9,0.17,0.0,0.07,5.119041543551868,3.6363636363636362,2.0,7.0,12.380000000000003,14.0,1.2578616352201257,2.0,4.0,,,0.5543423428013415,,,
random,recon,18,random,False,0.0,neutral_texture,65,2.5,1.290430476910056,4.184837397710318,5.651869898643057,26,36.0,14,2.571428387755115,0,0,1.9788461215039177,0.225,0.515,0.515,0.045,0.305,0.675,95,22,0.49,0.0,0.155,4.086896317371611,5.405405405405405,3.0,12.799999999999997,24.60000000000001,30.0,1.4285714285714286,2.0,5.0,,,0.595368677424392,,,
random,recon,19,random,False,0.0,neutral_texture,85,2.8333333333333335,0.6149589779619923,4.096837363306774,6.043938846438998,30,43.0,7,6.142856265306247,2,2,1.9916083128733297,0.215,0.52,0.52,0.0,0.265,0.575,82,7,0.0,0.0,0.125,4.453501477157487,4.545454545454546,3.0,8.700000000000003,22.28,24.0,1.3513513513513513,2.0,5.0,,,0.5442150836815248,,,
Recon_epistemic,recon,0,feelings,False,0.35,neutral_texture,33,1.064516129032258,0.6435539012863185,1.3167606796189315,1.4343095546405664,31,30.0,18,1.6666665740740791,212,2,0.08079313589591118,0.99,0.01,0.01,0.84,0.84,0.835,0,5,0.92,0.0,0.84,1.4143095546405666,6.451612903225806,1.0,1.0,118.19999999999987,168.0,6.0606060606060606,1.0,168.0,,,0.5462977947292121,,,
Recon_epistemic,recon,1,feelings,False,0.35,neutral_texture,18,1.0588235294117647,0.6294419627231911,0.7069908377448257,0.7669908377448258,17,16.0,16,0.9999999375000038,212,2,0.0454146923337941,0.995,0.005,0.005,0.915,0.915,0.91,0,185,0.96,0.0,0.915,0.7569908377448258,11.764705882352942,1.0,1.4000000000000004,154.03999999999996,183.0,11.11111111111111,1.0,183.0,,,0.9691545430249837,,,
Recon_epistemic,recon,2,feelings,False,0.35,neutral_texture,18,1.0588235294117647,0.3147433140607801,0.7332164002340082,0.7669908377448258,17,16.0,16,0.9999999375000038,212,2,0.0454146923337941,0.995,0.005,0.005,0.915,0.915,0.91,0,1,0.96,0.0,0.915,0.7569908377448258,11.764705882352942,1.0,1.4000000000000004,154.03999999999996,183.0,11.11111111111111,1.0,183.0,,,0.5062882245137361,,,
Recon_epistemic,recon,3,feelings,False,0.35,neutral_texture,19,1.0555555555555556,0.18144054254182065,0.751763067193911,0.811763067193911,18,17.0,17,0.999999941176474,212,2,0.0454146923337941,0.995,0.005,0.005,0.91,0.91,0.905,0,1,0.96,0.0,0.91,0.801763067193911,11.11111111111111,1.0,1.3000000000000007,151.3999999999997,182.0,10.526315789473685,1.0,182.0,,,0.5056266701341284,,,
Recon_epistemic,recon,4,feelings,False,0.35,neutral_texture,9,1.0,0.09079313589591118,0.3385177515715974,0.3622921890824148,9,8.0,8,0.9999998750000157,212,2,0.0,1.0,0.0,0.0,0.96,0.96,0.955,0,1,0.96,0.0,0.96,0.3622921890824148,22.22222222222222,1.0,39.20000000000003,176.72,192.0,22.22222222222222,39.20000000000003,192.0,,,0.5062305560880048,,,
Recon_epistemic,recon,5,feelings,False,0.35,neutral_texture,27,1.08,0.6024384954442553,1.0847209108755136,1.168495348386331,25,24.0,18,1.3333332592592633,212,2,0.08079313589591118,0.99,0.01,0.01,0.87,0.87,0.865,0,5,0.935,0.0,0.87,1.148495348386331,8.0,1.0,1.6000000000000014,132.71999999999966,174.0,7.407407407407407,1.0,174.0,,,0.5396020053089784,,,
Recon_epistemic,recon,6,feelings,False,0.35,neutral_texture,9,1.0,0.09079313589591118,0.34229218908241477,0.3622921890824148,9,8.0,8,0.9999998750000157,212,2,0.0,1.0,0.0,0.0,0.96,0.96,0.955,0,1,0.96,0.0,0.96,0.3622921890824148,22.22222222222222,1.0,39.20000000000003,176.72,192.0,22.22222222222222,39.20000000000003,192.0,,,0.5227039597023783,,,
Recon_epistemic,recon,7,feelings,False,0.35,neutral_texture,18,1.125,0.3522921890824148,0.7269908377448258,0.7669908377448258,16,15.0,15,0.9999999333333378,212,2,0.09079313589591118,0.99,0.01,0.01,0.915,0.915,0.91,0,3,0.915,0.0,0.915,0.7469908377448258,12.5,1.0,2.0,155.84999999999994,183.0,11.11111111111111,1.0,183.0,,,0.5392909829301593,,,
Recon_epistemic,recon,8,feelings,False,0.35,neutral_texture,72,1.0588235294117647,0.8569770755790879,2.6449042653961548,3.1216146100267297,68,67.0,17,3.9411762387543385,180,2,0.14144054254182067,0.98,0.02,0.02,0.645,0.645,0.64,0,6,0.96,0.0,0.645,3.0816146100267257,2.9411764705882355,1.0,1.0,43.90999999999978,129.0,2.7777777777777777,1.0,129.0,,,0.5306990468226702,,,
Recon_epistemic,recon,9,feelings,False,0.35,neutral_texture,18,1.0588235294117647,0.5518930877015564,0.7094419627231909,0.7669908377448258,17,16.0,16,0.9999999375000038,212,2,0.0454146923337941,0.995,0.005,0.005,0.915,0.915,0.91,0,2,0.96,0.0,0.915,0.7569908377448258,11.764705882352942,1.0,1.4000000000000004,154.03999999999996,183.0,11.11111111111111,1.0,183.0,,,0.5619205310405007,,,
Recon_epistemic,recon,10,feelings,False,0.35,neutral_texture,19,1.0555555555555556,0.26194073285321084,0.791763067193911,0.811763067193911,18,17.0,17,0.999999941176474,212,2,0.0454146923337941,0.995,0.005,0.005,0.91,0.91,0.905,0,2,0.96,0.0,0.91,0.801763067193911,11.11111111111111,1.0,1.3000000000000007,151.3999999999997,182.0,10.526315789473685,1.0,182.0,,,0.5083444190330695,,,
Recon_epistemic,recon,11,feelings,False,0.35,neutral_texture,98,1.0769230769230769,2.405621049618327,4.410669508744197,6.435134314233866,91,186.0,10,18.59999814000019,0,0,0.36592365090022316,0.93,0.07,0.07,0.0,0.0,0.51,0,23,0.725,0.0,0.03,6.290860549372491,1.075268817204301,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,0.6115771084113201,,,
Recon_epistemic,recon,12,feelings,False,0.35,neutral_texture,19,1.0555555555555556,0.27194073285321085,0.7679886296830937,0.811763067193911,18,17.0,17,0.999999941176474,212,2,0.0454146923337941,0.995,0.005,0.005,0.91,0.91,0.905,0,2,0.96,0.0,0.91,0.801763067193911,11.11111111111111,1.0,1.3000000000000007,151.3999999999997,182.0,10.526315789473685,1.0,182.0,,,0.5105611005251542,,,
Recon_epistemic,recon,13,feelings,False,0.35,neutral_texture,19,1.0555555555555556,0.5219104511772213,0.781763067193911,0.811763067193911,18,17.0,17,0.999999941176474,212,2,0.0454146923337941,0.995,0.005,0.005,0.91,0.91,0.905,0,2,0.96,0.0,0.91,0.801763067193911,11.11111111111111,1.0,1.3000000000000007,151.3999999999997,182.0,10.526315789473685,1.0,182.0,,,0.5594559976314829,,,
Recon_epistemic,recon,14,feelings,False,0.35,neutral_texture,34,1.0625,0.9818465428966308,1.317139793026439,1.4784631055588915,32,31.0,15,2.066666528888898,212,2,0.08079313589591118,0.99,0.01,0.01,0.835,0.835,0.83,0,169,0.88,0.0,0.835,1.458463105558891,6.25,1.0,1.0,115.85000000000021,167.0,5.882352941176471,1.0,167.0,,,0.9334748212822749,,,
Recon_epistemic,recon,15,feelings,False,0.35,neutral_texture,9,1.0,0.09079313589591118,0.3522921890824148,0.3622921890824148,9,8.0,8,0.9999998750000157,212,2,0.0,1.0,0.0,0.0,0.96,0.96,0.955,0,1,0.96,0.0,0.96,0.3622921890824148,22.22222222222222,1.0,39.20000000000003,176.72,192.0,22.22222222222222,39.20000000000003,192.0,,,0.5039104099827991,,,
