model,base_model,seed,policy,curiosity,w_epistemic,assay_variant,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,action_entropy,move_ratio,turn_ratio,turn_in_place_rate,blocked_forward_rate,true_stall_rate,revisit_rate,scan_events,hazard_contacts,boundary_hugging_fraction,internal_actuator_fraction,max_occupancy_fraction,occupancy_entropy,dwell_mean,dwell_median,dwell_p90,dwell_p99,dwell_max,vp_dwell_mean,vp_dwell_p90,vp_dwell_max,mean_valence,mean_arousal,mean_Ns,mean_bb_err,mean_precision_eff,mean_alpha_eff
random,recon,0,random,False,0.0,neutral_texture,75,2.4193548387096775,1.965677743573535,4.1836942344888435,5.904191865876614,31,41.0,7,5.857142020408283,0,0,1.9886471245685131,0.21,0.495,0.495,0.005,0.3,0.625,86,16,0.315,0.0,0.18,4.323018090208468,4.761904761904762,3.0,8.0,25.129999999999974,28.0,1.4184397163120568,2.0,4.0,,,0.5968698109143692,,,
random,recon,1,random,False,0.0,neutral_texture,83,2.59375,2.466443234919614,4.5250555335808595,6.09967350533891,32,41.0,11,3.727272388429783,4,2,1.9801622973911048,0.205,0.49,0.49,0.0,0.305,0.585,76,34,0.0,0.0,0.095,4.641612359035682,4.761904761904762,4.0,9.899999999999999,11.589999999999996,12.0,1.4388489208633093,3.0,6.0,,,0.635729841755079,,,
random,recon,2,random,False,0.0,neutral_texture,81,2.892857142857143,1.2346930729318721,3.800642466845186,6.013563380781249,28,46.0,8,5.749999281250091,0,0,1.997819780897454,0.23,0.525,0.525,0.0,0.245,0.595,87,25,0.08,0.0,0.125,4.3691663163430015,4.3478260869565215,3.0,8.0,16.099999999999994,17.0,1.3245033112582782,2.0,5.0,,,0.5948028408395194,,,
random,recon,3,random,False,0.0,neutral_texture,87,2.6363636363636362,1.2313419561857681,4.483154071169787,6.1232250031366,33,46.0,12,3.833333013888916,0,0,1.9961760038664247,0.25,0.515,0.515,0.02,0.255,0.565,74,10,0.32,0.0,0.125,4.590939276376763,4.3478260869565215,3.0,8.5,19.599999999999966,25.0,1.342281879194631,2.0,5.0,,,0.5583132169867525,,,
random,recon,4,random,False,0.0,neutral_texture,91,2.3333333333333335,0.8464817102932365,4.1316174872524405,6.244338270373356,39,49.0,9,5.44444383950624,0,0,1.998695244388886,0.245,0.495,0.495,0.0,0.26,0.545,75,6,0.0,0.0,0.075,4.835411510763649,4.0,3.0,8.0,12.529999999999994,14.0,1.3513513513513513,2.0,5.0,,,0.5545073262742295,,,
Recon_epistemic,recon,0,feelings,False,0.35,neutral_texture,33,1.064516129032258,0.6435539012863185,1.3167606796189315,1.4343095546405664,31,30.0,18,1.6666665740740791,212,2,0.08079313589591118,0.99,0.01,0.01,0.84,0.84,0.835,0,5,0.92,0.0,0.84,1.4143095546405666,6.451612903225806,1.0,1.0,118.19999999999987,168.0,6.0606060606060606,1.0,168.0,,,0.5462977947292121,,,
Recon_epistemic,recon,1,feelings,False,0.35,neutral_texture,18,1.0588235294117647,0.6294419627231911,0.7069908377448257,0.7669908377448258,17,16.0,16,0.9999999375000038,212,2,0.0454146923337941,0.995,0.005,0.005,0.915,0.915,0.91,0,185,0.96,0.0,0.915,0.7569908377448258,11.764705882352942,1.0,1.4000000000000004,154.03999999999996,183.0,11.11111111111111,1.0,183.0,,,0.9691545430249837,,,
Recon_epistemic,recon,2,feelings,False,0.35,neutral_texture,18,1.0588235294117647,0.3147433140607801,0.7332164002340082,0.7669908377448258,17,16.0,16,0.9999999375000038,212,2,0.0454146923337941,0.995,0.005,0.005,0.915,0.915,0.91,0,1,0.96,0.0,0.915,0.7569908377448258,11.764705882352942,1.0,1.4000000000000004,154.03999999999996,183.0,11.11111111111111,1.0,183.0,,,0.5062882245137361,,,
Recon_epistemic,recon,3,feelings,False,0.35,neutral_texture,19,1.0555555555555556,0.18144054254182065,0.751763067193911,0.811763067193911,18,17.0,17,0.999999941176474,212,2,0.0454146923337941,0.995,0.005,0.005,0.91,0.91,0.905,0,1,0.96,0.0,0.91,0.801763067193911,11.11111111111111,1.0,1.3000000000000007,151.3999999999997,182.0,10.526315789473685,1.0,182.0,,,0.5056266701341284,,,
Recon_epistemic,recon,4,feelings,False,0.35,neutral_texture,9,1.0,0.09079313589591118,0.3385177515715974,0.3622921890824148,9,8.0,8,0.9999998750000157,212,2,0.0,1.0,0.0,0.0,0.96,0.96,0.955,0,1,0.96,0.0,0.96,0.3622921890824148,22.22222222222222,1.0,39.20000000000003,176.72,192.0,22.22222222222222,39.20000000000003,192.0,,,0.5062305560880048,,,
Recon_curiosity,recon,0,feelings,True,0.35,neutral_texture,153,2.013157894736842,1.6436966068243084,4.913496801148936,7.160081752263923,76,184.0,14,13.142856204081701,0,0,0.38744491915447626,0.94,0.06,0.06,0.02,0.02,0.235,1,15,0.96,0.0,0.045,6.092141877069197,1.0869565217391304,1.0,1.0,3.1699999999999875,4.0,1.0204081632653061,1.0,3.0,,,0.5750409030071115,,,
Recon_curiosity,recon,1,feelings,True,0.35,neutral_texture,101,1.3289473684210527,2.5069494641768126,4.751270430585733,6.4293487741272815,76,165.0,13,12.692306715976407,5,2,0.4183953189083867,0.93,0.07,0.07,0.105,0.105,0.495,1,34,0.96,0.0,0.085,5.8906292707880885,1.2121212121212122,1.0,1.0,7.359999999999985,9.0,1.1173184357541899,1.0,8.0,,,0.6312705752381911,,,
Recon_curiosity,recon,2,feelings,True,0.35,neutral_texture,126,1.6578947368421053,1.478328334209177,4.671915314893639,6.715769836703002,76,167.0,15,11.133332591111161,6,2,0.3537626613749938,0.945,0.055,0.055,0.11,0.11,0.37,0,12,0.96,0.0,0.085,5.8616699103249355,1.1976047904191616,1.0,1.0,7.680000000000007,9.0,1.1235955056179776,1.0,8.0,,,0.5606498685035871,,,
Recon_curiosity,recon,3,feelings,True,0.35,neutral_texture,149,1.9605263157894737,1.5084096410939678,4.839466976205471,7.029813013238868,76,174.0,12,14.499998791666767,3,2,0.41170357248613354,0.935,0.065,0.065,0.065,0.065,0.255,2,14,0.96,0.0,0.08,5.96988625217737,1.1494252873563218,1.0,1.0,4.27000000000001,10.0,1.0695187165775402,1.0,8.0,,,0.5737140295341101,,,
Recon_curiosity,recon,4,feelings,True,0.35,neutral_texture,136,1.7894736842105263,1.5686949602126874,4.868229677638486,6.896038575728056,76,171.0,15,11.399999240000051,3,2,0.4348896204226208,0.93,0.07,0.07,0.075,0.075,0.32,3,13,0.96,0.0,0.08,5.951266094754729,1.1695906432748537,1.0,1.0,5.0,10.0,1.0810810810810811,1.0,8.0,,,0.5667212722248293,,,
Ipsundrum_curiosity,humphrey,0,feelings,True,0.35,neutral_texture,153,2.013157894736842,1.6436966068243084,4.913496801148936,7.160081752263923,76,184.0,14,13.142856204081701,0,0,0.38744491915447626,0.94,0.06,0.06,0.02,0.02,0.235,1,15,0.96,1.0,0.045,6.092141877069197,1.0869565217391304,1.0,1.0,3.1699999999999875,4.0,1.0204081632653061,1.0,3.0,,,0.6998517626451661,,1.0,0.729336446464595
Ipsundrum_curiosity,humphrey,1,feelings,True,0.35,neutral_texture,154,2.026315789473684,2.3619972231679918,4.82850092749418,7.076038575728049,76,170.0,12,14.16666548611121,3,2,0.4590709165251198,0.925,0.075,0.075,0.075,0.075,0.23,2,24,0.96,1.0,0.09,5.985336925074447,1.1764705882352942,1.0,1.0,7.0,9.0,1.0810810810810811,1.0,8.0,,,0.7196490318453211,,1.0,0.7251559241028531
Ipsundrum_curiosity,humphrey,2,feelings,True,0.35,neutral_texture,118,1.5526315789473684,1.5754589012275089,4.512501600995994,6.585871340663963,76,170.0,18,9.444443919753114,3,2,0.3761216066220242,0.94,0.06,0.06,0.09,0.09,0.41,0,13,0.96,1.0,0.08,5.79428917478355,1.1695906432748537,1.0,1.0,7.0,9.0,1.092896174863388,1.0,8.0,,,0.68901861084602,,1.0,0.7300427163534331
Ipsundrum_curiosity,humphrey,3,feelings,True,0.35,neutral_texture,149,1.9605263157894737,1.5084096410939678,4.839466976205471,7.029813013238868,76,174.0,12,14.499998791666767,3,2,0.41170357248613354,0.935,0.065,0.065,0.065,0.065,0.255,2,14,0.96,1.0,0.08,5.96988625217737,1.1494252873563218,1.0,1.0,4.27000000000001,10.0,1.0695187165775402,1.0,8.0,,,0.7039618682363777,,1.0,0.7313485225484491
Ipsundrum_curiosity,humphrey,4,feelings,True,0.35,neutral_texture,136,1.7894736842105263,1.5686949602126874,4.868229677638486,6.896038575728056,76,171.0,15,11.399999240000051,3,2,0.4348896204226208,0.93,0.07,0.07,0.075,0.075,0.32,3,13,0.96,1.0,0.08,5.951266094754729,1.1695906432748537,1.0,1.0,5.0,10.0,1.0810810810810811,1.0,8.0,,,0.6882265902492989,,1.0,0.7287184890465279
Ipsundrum_Affect_no_curiosity,humphrey_barrett,0,feelings,False,0.35,neutral_texture,80,1.951219512195122,0.0,3.9366651390878493,5.737499593393835,41,107.0,9,11.888887567901381,2,6,1.45831623106384,0.535,0.465,0.465,0.0,0.0,0.6,49,0,0.155,1.0,0.13,4.391721368773411,1.8691588785046729,1.0,3.0,4.939999999999998,12.0,1.0,1.0,1.0,0.5330188812967198,0.17084422157769513,0.6788159868873324,1.4009433561098406,1.0851223052120138,0.8152628743465377
Ipsundrum_Affect_no_curiosity,humphrey_barrett,1,feelings,False,0.35,neutral_texture,60,1.935483870967742,0.0,3.539419039287887,4.64492977901518,31,58.0,14,4.1428568469387965,67,2,1.2302372870750866,0.52,0.48,0.48,0.23,0.23,0.7,74,0,0.29,1.0,0.335,3.430442109331134,3.389830508474576,1.0,4.0,49.780000000000015,55.0,1.2903225806451613,1.0,46.0,0.5480750820306062,0.16706639448355606,0.6696164591262577,1.355774753908181,1.0832632005800356,0.8144411874203153
Ipsundrum_Affect_no_curiosity,humphrey_barrett,2,feelings,False,0.35,neutral_texture,66,1.7837837837837838,0.11236071009937675,3.7122559319994073,4.934153411136007,37,83.0,11,7.545453859504195,73,2,1.1916725869569682,0.69,0.31,0.31,0.275,0.275,0.67,28,0,0.295,1.0,0.275,4.148505761234862,2.380952380952381,1.0,2.0,20.97000000000007,55.0,1.36986301369863,1.0,55.0,0.5073171742590988,0.1796147038860615,0.694876883495219,1.4780484772227036,1.0894894444439016,0.8159719208046622
Ipsundrum_Affect_no_curiosity,humphrey_barrett,3,feelings,False,0.35,neutral_texture,103,1.7166666666666666,0.11236071009937675,4.481100305102965,6.05324748449568,60,102.0,14,7.28571376530616,11,2,1.400766637523055,0.58,0.42,0.42,0.07,0.07,0.485,39,0,0.235,1.0,0.14,4.844446949407337,1.941747572815534,1.0,3.0,13.820000000000036,17.0,1.0695187165775402,1.0,14.0,0.5434817766818032,0.1725247105843652,0.6754090111620187,1.3695546699545906,1.0859174990760794,0.8148550286826642
Ipsundrum_Affect_no_curiosity,humphrey_barrett,4,feelings,False,0.35,neutral_texture,32,1.8823529411764706,0.0,3.234534072017433,4.040630268244556,17,88.0,16,5.499999656250021,72,2,1.1587212463394043,0.71,0.29,0.29,0.27,0.27,0.84,34,0,0.31,1.0,0.27,3.064404298966484,2.247191011235955,1.0,3.0,17.920000000000186,54.0,1.3605442176870748,1.0,54.0,0.49392277704867604,0.18706673537397273,0.698438259832771,1.518231668853972,1.0932658415138221,0.8181087479328107
Ipsundrum_Affect_curiosity,humphrey_barrett,0,feelings,True,0.35,neutral_texture,120,2.3076923076923075,0.0,4.519643364169552,6.533187185984785,52,117.0,17,6.882352536332204,20,2,1.2241559999203833,0.68,0.32,0.32,0.095,0.095,0.4,27,0,0.535,1.0,0.12,5.282760764025006,1.694915254237288,1.0,3.0,9.319999999999993,18.0,1.098901098901099,1.0,18.0,0.5323208334661934,0.17599196774373943,0.6784767534031679,1.40303749960142,1.087709073090072,0.8164582660252516
Ipsundrum_Affect_curiosity,humphrey_barrett,1,feelings,True,0.35,neutral_texture,131,2.0793650793650795,0.0,4.697190623211738,6.77919142474029,63,111.0,13,8.538460881656857,0,0,1.3547995485050872,0.61,0.39,0.39,0.055,0.055,0.345,33,0,0.22,1.0,0.075,5.4722299322509125,1.8018018018018018,1.0,3.0,5.0,10.0,1.0582010582010581,1.0,5.0,0.5443970430609509,0.17066523826830887,0.6730277272303868,1.3668088708171473,1.0850515081928283,0.8147549658399771
Ipsundrum_Affect_curiosity,humphrey_barrett,2,feelings,True,0.35,neutral_texture,153,2.04,0.0454146923337941,4.7925825675671785,7.128758439731472,75,126.0,12,10.499999125000073,0,0,1.3157831791862378,0.63,0.37,0.37,0.0,0.0,0.235,29,0,0.475,1.0,0.05,5.909058740056833,1.5748031496062993,1.0,3.0,7.699999999999974,10.0,1.0,1.0,1.0,0.5328267294113371,0.17524889523984918,0.6793841867239084,1.4015198117659884,1.0873041903545113,0.8157485825030306
Ipsundrum_Affect_curiosity,humphrey_barrett,3,feelings,True,0.35,neutral_texture,171,1.8,0.19293469635803695,4.929220689596916,7.294484674870104,95,131.0,9,14.555553938271785,0,0,1.233347544458767,0.675,0.325,0.325,0.02,0.02,0.145,27,0,0.465,1.0,0.055,6.245892171231298,1.5267175572519085,1.0,3.0,4.699999999999989,11.0,1.0204081632653061,1.0,3.0,0.5251100402181573,0.18171513664715924,0.6840615145712923,1.4246698793455284,1.0905381055394618,0.8168674951052111
Ipsundrum_Affect_curiosity,humphrey_barrett,4,feelings,True,0.35,neutral_texture,156,1.95,0.0,4.66126117578857,7.172532877242286,80,139.0,13,10.692306869822549,0,0,1.1587212463394043,0.71,0.29,0.29,0.015,0.015,0.22,21,0,0.445,1.0,0.06,5.98086766012654,1.4285714285714286,1.0,2.0,4.0,12.0,1.015228426395939,1.0,3.0,0.5474946615181584,0.17269648747758334,0.6699924285065305,1.3575160154455248,1.0860145931949992,0.8172239569984192
