model,base_model,seed,step,assay_variant,y,x,heading,action,I_total,touch,smell,smell_h,smell_b,vision,texture_cell,texture_cone,is_boundary,valence,arousal,Ns,internal_actuator_mode,bb_err,precision_eff,alpha_eff
random,recon,0,0,neutral_texture,9,9,1,stay,0.06592456955919482,0.0,0.09417795651313546,0.09417795651313546,0.0,0.0,0.8830780014959977,0.5726036473098182,False,,,0.5329622847795974,0,,,
random,recon,0,1,neutral_texture,9,9,1,turn_right,0.06592456955919482,0.0,0.09417795651313546,0.09417795651313546,0.0,0.0,0.8830780014959977,0.5726036473098182,False,,,0.5329622847795974,0,,,
random,recon,0,2,neutral_texture,9,9,2,turn_right,0.17026991118156426,0.0,0.09417795651313546,0.09417795651313546,0.0,0.17390890270394907,0.8830780014959977,0.4527252101172327,False,,,0.5851349555907821,0,,,
random,recon,0,3,neutral_texture,9,9,3,turn_left,0.09175687566930264,0.0,0.09417795651313546,0.09417795651313546,0.0,0.04305384351684637,0.8830780014959977,0.5619490559184014,False,,,0.5458784378346513,0,,,
random,recon,0,4,neutral_texture,9,9,2,turn_left,0.17026991118156426,0.0,0.09417795651313546,0.09417795651313546,0.0,0.17390890270394907,0.8830780014959977,0.4527252101172327,False,,,0.5851349555907821,0,,,
random,recon,0,5,neutral_texture,9,9,1,forward,0.06592456955919482,0.0,0.09417795651313546,0.09417795651313546,0.0,0.0,0.8830780014959977,0.5726036473098182,False,,,0.5329622847795974,0,,,
random,recon,0,6,neutral_texture,9,10,1,forward,0.041525191013601456,0.0,0.04627441536516168,0.04627441536516168,0.0,0.015221833763313809,0.5755398430302386,0.44339055138455913,False,,,0.5207625955068007,0,,,
random,recon,0,7,neutral_texture,9,11,1,forward,0.044936043691074394,0.0,0.01767624809335627,0.01767624809335627,0.0,0.05427111670954168,0.4246176949346334,0.38807299903192727,False,,,0.5224680218455372,0,,,
random,recon,0,8,neutral_texture,9,12,1,forward,0.046407330493462975,0.0,0.01524112352789022,0.01524112352789022,0.0,0.059564240039899706,0.2523030876577458,0.5513215043047305,False,,,0.5232036652467315,0,,,
random,recon,0,9,neutral_texture,9,13,1,stay,0.11242289876660803,0.0,0.04382725104891158,0.04382725104891158,0.0,0.1362397050539499,0.8236138553216305,0.4537209834331518,False,,,0.556211449383304,0,,,
random,recon,0,10,neutral_texture,9,13,1,turn_right,0.11242289876660803,0.0,0.04382725104891158,0.04382725104891158,0.0,0.1362397050539499,0.8236138553216305,0.4537209834331518,False,,,0.556211449383304,0,,,
random,recon,0,11,neutral_texture,9,13,2,stay,0.09538390294266548,0.0,0.04382725104891158,0.04382725104891158,0.0,0.10784137868071231,0.8236138553216305,0.503902995095268,False,,,0.5476919514713328,0,,,
random,recon,0,12,neutral_texture,9,13,2,turn_right,0.09538390294266548,0.0,0.04382725104891158,0.04382725104891158,0.0,0.10784137868071231,0.8236138553216305,0.503902995095268,False,,,0.5476919514713328,0,,,
random,recon,0,13,neutral_texture,9,13,3,turn_right,0.03981217599222639,0.0,0.04382725104891158,0.04382725104891158,0.0,0.015221833763313809,0.8236138553216305,0.4256260180224872,False,,,0.5199060879961132,0,,,
random,recon,0,14,neutral_texture,9,13,0,stay,0.05333550784613111,0.0,0.04382725104891158,0.04382725104891158,0.0,0.037760720186488336,0.8236138553216305,0.38268284778990785,False,,,0.5266677539230655,0,,,
random,recon,0,15,neutral_texture,9,13,0,turn_right,0.05333550784613111,0.0,0.04382725104891158,0.04382725104891158,0.0,0.037760720186488336,0.8236138553216305,0.38268284778990785,False,,,0.5266677539230655,0,,,
random,recon,0,16,neutral_texture,9,13,1,turn_right,0.11242289876660803,0.0,0.04382725104891158,0.04382725104891158,0.0,0.1362397050539499,0.8236138553216305,0.4537209834331518,False,,,0.556211449383304,0,,,
random,recon,0,17,neutral_texture,9,13,2,turn_right,0.09538390294266548,0.0,0.04382725104891158,0.04382725104891158,0.0,0.10784137868071231,0.8236138553216305,0.503902995095268,False,,,0.5476919514713328,0,,,
random,recon,0,18,neutral_texture,9,13,3,turn_right,0.03981217599222639,0.0,0.04382725104891158,0.04382725104891158,0.0,0.015221833763313809,0.8236138553216305,0.4256260180224872,False,,,0.5199060879961132,0,,,
random,recon,0,19,neutral_texture,9,13,0,stay,0.05333550784613111,0.0,0.04382725104891158,0.04382725104891158,0.0,0.037760720186488336,0.8236138553216305,0.38268284778990785,False,,,0.5266677539230655,0,,,
random,recon,0,20,neutral_texture,9,13,0,turn_left,0.05333550784613111,0.0,0.04382725104891158,0.04382725104891158,0.0,0.037760720186488336,0.8236138553216305,0.38268284778990785,False,,,0.5266677539230655,0,,,
