model,seed,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,mean_precision_eff,mean_alpha_eff,internal_actuator_fraction,scan_events,revisit_rate,turn_in_place_rate,true_stall_rate,blocked_forward_rate,max_occupancy_fraction,occupancy_entropy,dwell_p90,dwell_max,vp_dwell_p90,vp_dwell_max,boundary_hugging_fraction,hazard_contacts,assay_variant
Ipsundrum,0,153,2.013157894736842,1.6436966068243084,4.913496801148936,7.160081752263923,76,184.0,14,13.142856204081701,0,0,1.0,0.729336446464595,1.0,1,0.235,0.06,0.02,0.02,0.045,6.092141877069197,1.0,4.0,1.0,3.0,0.96,15,neutral_texture
Ipsundrum,1,154,2.026315789473684,2.3619972231679918,4.82850092749418,7.076038575728049,76,170.0,12,14.16666548611121,3,2,1.0,0.7251559241028531,1.0,2,0.23,0.075,0.075,0.075,0.09,5.985336925074447,1.0,9.0,1.0,8.0,0.96,24,neutral_texture
Ipsundrum,2,118,1.5526315789473684,1.5754589012275089,4.512501600995994,6.585871340663963,76,170.0,18,9.444443919753114,3,2,1.0,0.7300427163534331,1.0,0,0.41,0.06,0.09,0.09,0.08,5.79428917478355,1.0,9.0,1.0,8.0,0.96,13,neutral_texture
Ipsundrum,3,149,1.9605263157894737,1.5084096410939678,4.839466976205471,7.029813013238868,76,174.0,12,14.499998791666767,3,2,1.0,0.7313485225484491,1.0,2,0.255,0.065,0.065,0.065,0.08,5.96988625217737,1.0,10.0,1.0,8.0,0.96,14,neutral_texture
Ipsundrum,4,136,1.7894736842105263,1.5686949602126874,4.868229677638486,6.896038575728056,76,171.0,15,11.399999240000051,3,2,1.0,0.7287184890465279,1.0,3,0.32,0.07,0.075,0.075,0.08,5.951266094754729,1.0,10.0,1.0,8.0,0.96,13,neutral_texture
Ipsundrum,5,109,1.4342105263157894,2.604197642539575,4.7305033244311465,6.669690752090846,76,184.0,14,13.142856204081701,0,0,1.0,0.7213352578168488,1.0,1,0.455,0.06,0.02,0.02,0.045,6.094593002047561,1.0,5.0,1.0,3.0,0.96,32,neutral_texture
Ipsundrum,6,145,1.9078947368421053,1.419813313848374,4.740228470076277,6.894446524170548,76,160.0,10,15.99999840000016,6,2,1.0,0.7303508974223425,1.0,1,0.275,0.06,0.14,0.14,0.08,5.8705147372727335,1.0,10.0,1.0,8.0,0.96,11,neutral_texture
Ipsundrum,7,145,1.9078947368421053,1.2301247650796239,4.7790696849470775,6.957781153456039,76,170.0,18,9.444443919753114,3,2,1.0,0.7301474690653503,1.0,0,0.275,0.055,0.095,0.095,0.08,5.981380707290384,1.0,9.0,1.0,8.0,0.96,9,neutral_texture
Ipsundrum,8,144,1.894736842105263,1.6551061029596599,4.826220248967766,6.899544274213816,76,168.0,16,10.49999934375004,6,2,1.0,0.7280520339706755,1.0,1,0.28,0.06,0.1,0.1,0.08,5.886307314753091,1.0,10.0,1.0,8.0,0.96,13,neutral_texture
Ipsundrum,9,144,1.565217391304348,1.887995770925276,4.890877903248165,7.064984002220657,92,178.0,12,14.833332097222327,0,0,1.0,0.7315794372652955,1.0,0,0.28,0.06,0.05,0.05,0.04,6.312561142264727,1.0,7.0,1.0,3.0,0.88,17,neutral_texture
Ipsundrum,10,147,1.5978260869565217,2.0271749425214702,4.9542752745564576,7.0863073147531,92,178.0,12,14.833332097222327,0,0,1.0,0.7260098531790712,1.0,1,0.265,0.065,0.045,0.045,0.045,6.225445252251919,1.0,5.0,1.0,3.0,0.88,19,neutral_texture
Ipsundrum,11,145,1.9078947368421053,2.7741636518386295,4.804058276776994,7.08630731475311,76,184.0,14,13.142856204081701,0,0,1.0,0.7210651179700117,1.0,1,0.275,0.06,0.02,0.02,0.035,6.109328016940207,1.0,5.0,1.0,3.0,0.96,28,neutral_texture
Ipsundrum,12,153,2.013157894736842,2.3738636506610726,4.827900683976133,7.069813013238871,76,174.0,12,14.499998791666767,3,2,1.0,0.726311080264423,1.0,2,0.235,0.065,0.065,0.065,0.08,5.990514737272733,1.0,10.0,1.0,8.0,0.96,20,neutral_texture
Ipsundrum,13,119,1.5657894736842106,2.4513181004947637,4.8355117979745375,6.72226413821723,76,170.0,18,9.444443919753114,3,2,1.0,0.7252465184166188,1.0,2,0.405,0.07,0.08,0.08,0.085,5.807274098472803,1.0,9.0,1.0,8.0,0.96,25,neutral_texture
Ipsundrum,14,138,1.5,1.0969442929399005,4.787402284486887,6.91226413821723,92,170.0,14,12.142856275510267,3,2,1.0,0.7336727723534621,1.0,2,0.31,0.065,0.085,0.085,0.085,6.095175896348246,1.0,9.0,1.0,8.0,0.88,6,neutral_texture
Ipsundrum,15,171,1.858695652173913,1.3330295747918746,4.748710764272633,7.331209564709841,92,176.0,12,14.666665444444547,0,0,1.0,0.7321633590702804,1.0,0,0.145,0.06,0.06,0.06,0.04,6.324093674697011,1.0,4.0,1.0,3.0,0.88,11,neutral_texture
Ipsundrum,16,136,1.7894736842105263,2.1149083714046126,4.976473314415572,6.882264138217234,76,168.0,16,10.49999934375004,3,2,1.0,0.7258337676690155,1.0,1,0.32,0.065,0.095,0.095,0.08,5.903702674523934,1.0,9.0,1.0,8.0,0.96,19,neutral_texture
Ipsundrum,17,126,1.3695652173913044,1.9263769422986865,4.746709169286397,6.900081752263922,92,185.0,15,12.333332511111166,0,0,1.0,0.726663996898164,1.0,1,0.37,0.065,0.01,0.01,0.035,6.371237829732276,1.0,5.0,1.0,3.0,0.88,17,neutral_texture
Ipsundrum,18,153,2.013157894736842,1.1227445013605264,4.747115654461192,7.06603857572805,76,173.0,15,11.533332564444496,3,2,1.0,0.7309705898746816,1.0,0,0.235,0.06,0.075,0.075,0.09,5.9979764393853,1.0,9.0,1.0,8.0,0.96,9,neutral_texture
Ipsundrum,19,109,1.1978021978021978,1.3666931319592477,4.820478479313807,6.6659163145800235,91,185.0,17,10.882352301038098,0,0,1.0,0.7309205640036904,1.0,1,0.455,0.065,0.01,0.01,0.035,6.366964064870908,1.0,5.0,1.0,3.0,0.88,12,neutral_texture
Ipsundrum+affect,0,120,2.3076923076923075,0.0,4.519643364169552,6.533187185984785,52,117.0,17,6.882352536332204,20,2,1.087709073090072,0.8164582660252516,1.0,27,0.4,0.32,0.095,0.095,0.12,5.282760764025006,3.0,18.0,1.0,18.0,0.535,0,neutral_texture
Ipsundrum+affect,1,131,2.0793650793650795,0.0,4.697190623211738,6.77919142474029,63,111.0,13,8.538460881656857,0,0,1.0850515081928283,0.8147549658399771,1.0,33,0.345,0.39,0.055,0.055,0.075,5.4722299322509125,3.0,10.0,1.0,5.0,0.22,0,neutral_texture
Ipsundrum+affect,2,153,2.04,0.0454146923337941,4.7925825675671785,7.128758439731472,75,126.0,12,10.499999125000073,0,0,1.0873041903545113,0.8157485825030306,1.0,29,0.235,0.37,0.0,0.0,0.05,5.909058740056833,3.0,10.0,1.0,1.0,0.475,0,neutral_texture
Ipsundrum+affect,3,171,1.8,0.19293469635803695,4.929220689596916,7.294484674870104,95,131.0,9,14.555553938271785,0,0,1.0905381055394618,0.8168674951052111,1.0,27,0.145,0.325,0.02,0.02,0.055,6.245892171231298,3.0,11.0,1.0,3.0,0.465,0,neutral_texture
