model,base_model,seed,policy,curiosity,w_epistemic,assay_variant,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,action_entropy,move_ratio,turn_ratio,turn_in_place_rate,blocked_forward_rate,true_stall_rate,revisit_rate,scan_events,hazard_contacts,boundary_hugging_fraction,internal_actuator_fraction,max_occupancy_fraction,occupancy_entropy,dwell_mean,dwell_median,dwell_p90,dwell_p99,dwell_max,vp_dwell_mean,vp_dwell_p90,vp_dwell_max,mean_valence,mean_arousal,mean_Ns,mean_bb_err,mean_precision_eff,mean_alpha_eff
Ipsundrum_Affect,humphrey_barrett,0,feelings,True,0.35,neutral_texture,120,2.3076923076923075,0.0,4.519643364169552,6.533187185984785,52,117.0,17,6.882352536332204,20,2,1.2241559999203833,0.68,0.32,0.32,0.095,0.095,0.4,27,0,0.535,1.0,0.12,5.282760764025006,1.694915254237288,1.0,3.0,9.319999999999993,18.0,1.098901098901099,1.0,18.0,0.5323208334661934,0.17599196774373943,0.6784767534031679,1.40303749960142,1.087709073090072,0.8164582660252516
Ipsundrum_Affect,humphrey_barrett,1,feelings,True,0.35,neutral_texture,131,2.0793650793650795,0.0,4.697190623211738,6.77919142474029,63,111.0,13,8.538460881656857,0,0,1.3547995485050872,0.61,0.39,0.39,0.055,0.055,0.345,33,0,0.22,1.0,0.075,5.4722299322509125,1.8018018018018018,1.0,3.0,5.0,10.0,1.0582010582010581,1.0,5.0,0.5443970430609509,0.17066523826830887,0.6730277272303868,1.3668088708171473,1.0850515081928283,0.8147549658399771
Ipsundrum_Affect,humphrey_barrett,2,feelings,True,0.35,neutral_texture,153,2.04,0.0454146923337941,4.7925825675671785,7.128758439731472,75,126.0,12,10.499999125000073,0,0,1.3157831791862378,0.63,0.37,0.37,0.0,0.0,0.235,29,0,0.475,1.0,0.05,5.909058740056833,1.5748031496062993,1.0,3.0,7.699999999999974,10.0,1.0,1.0,1.0,0.5328267294113371,0.17524889523984918,0.6793841867239084,1.4015198117659884,1.0873041903545113,0.8157485825030306
Ipsundrum_Affect,humphrey_barrett,3,feelings,True,0.35,neutral_texture,171,1.8,0.19293469635803695,4.929220689596916,7.294484674870104,95,131.0,9,14.555553938271785,0,0,1.233347544458767,0.675,0.325,0.325,0.02,0.02,0.145,27,0,0.465,1.0,0.055,6.245892171231298,1.5267175572519085,1.0,3.0,4.699999999999989,11.0,1.0204081632653061,1.0,3.0,0.5251100402181573,0.18171513664715924,0.6840615145712923,1.4246698793455284,1.0905381055394618,0.8168674951052111
Ipsundrum_Affect,humphrey_barrett,4,feelings,True,0.35,neutral_texture,156,1.95,0.0,4.66126117578857,7.172532877242286,80,139.0,13,10.692306869822549,0,0,1.1587212463394043,0.71,0.29,0.29,0.015,0.015,0.22,21,0,0.445,1.0,0.06,5.98086766012654,1.4285714285714286,1.0,2.0,4.0,12.0,1.015228426395939,1.0,3.0,0.5474946615181584,0.17269648747758334,0.6699924285065305,1.3575160154455248,1.0860145931949992,0.8172239569984192
Ipsundrum_Affect,humphrey_barrett,5,feelings,True,0.35,neutral_texture,143,2.2698412698412698,0.19293469635803695,4.5978191083071005,7.0236606896882,63,122.0,4,30.499992375001906,0,0,1.3385428223169153,0.615,0.385,0.385,0.005,0.005,0.285,33,0,0.225,1.0,0.055,5.65176128392804,1.639344262295082,1.0,3.0,5.789999999999992,8.0,1.0050251256281406,1.0,2.0,0.5013982915425792,0.1862103248055548,0.6988819364640192,1.4958051253722624,1.0927477024442442,0.8168260887391923
Ipsundrum_Affect,humphrey_barrett,6,feelings,True,0.35,neutral_texture,127,2.189655172413793,0.3255890191175833,4.290293925577267,6.37344714810105,58,104.0,16,6.499999593750025,34,2,1.2234791853706584,0.68,0.32,0.32,0.16,0.16,0.365,30,0,0.525,1.0,0.16,5.184639656262041,1.9047619047619047,1.0,3.0,11.839999999999975,27.0,1.183431952662722,1.0,27.0,0.5277873746190753,0.17739668848499437,0.679784000599517,1.4166378761427743,1.0884268351259134,0.8177112570243531
Ipsundrum_Affect,humphrey_barrett,7,feelings,True,0.35,neutral_texture,141,2.073529411764706,0.2747433140607801,4.7573977563066645,6.917166388173966,68,121.0,17,7.117646640138433,2,2,1.2744709127897678,0.655,0.345,0.345,0.05,0.05,0.295,28,0,0.42,1.0,0.095,5.670010267004102,1.639344262295082,1.0,3.0,7.0,10.0,1.0471204188481675,1.0,7.0,0.5092046119183974,0.18317278479372923,0.6931850908411379,1.4723861642448077,1.0912616682751717,0.8177958298164429
Ipsundrum_Affect,humphrey_barrett,8,feelings,True,0.35,neutral_texture,59,2.269230769230769,0.0454146923337941,3.790066813938742,4.697749102782544,26,81.0,11,7.3636356942149375,19,3,1.4945999286092595,0.505,0.495,0.495,0.1,0.1,0.705,81,0,0.76,1.0,0.375,3.3375950170926583,2.4390243902439024,1.0,3.0,15.459999999999923,43.0,1.1111111111111112,2.0,2.0,0.5275369907637936,0.17417922604451683,0.6844215653253477,1.4173890277086192,1.0867186546319807,0.8151496397850901
Ipsundrum_Affect,humphrey_barrett,9,feelings,True,0.35,neutral_texture,162,1.9285714285714286,0.0,4.621745873039955,7.241209564709836,84,121.0,9,13.444442950617452,0,0,1.350162774748601,0.61,0.39,0.39,0.005,0.005,0.19,30,0,0.15,1.0,0.06,6.043398847259924,1.6528925619834711,1.0,3.0,5.0,10.0,1.0050251256281406,1.0,2.0,0.5472673094463308,0.16924671182445272,0.6718088636962573,1.3581980716610076,1.0843040414721985,0.8144749035038406
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,0,feelings,True,0.35,neutral_texture,101,2.1956521739130435,0.0454146923337941,4.368745100496008,5.985969819381097,46,117.0,17,6.882352536332204,42,2,1.0076975753030093,0.77,0.23,0.23,0.185,0.185,0.495,18,0,0.71,1.0,0.19,4.861359403183692,1.694915254237288,1.0,3.0,5.0,34.0,1.2195121951219512,1.0,34.0,0.568695093982964,0.16158007535036983,0.6301852360005291,1.2939147180511084,1.0,0.7373967062236804
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,1,feelings,True,0.35,neutral_texture,63,2.032258064516129,0.16866093149667025,3.4740379291176224,4.154329149501754,31,57.0,15,3.7999997466666837,47,3,1.5526471623162073,0.43,0.57,0.57,0.145,0.145,0.685,116,0,0.715,1.0,0.57,2.893655507260979,3.4482758620689653,1.0,4.0,43.979999999999976,93.0,1.1627906976744187,2.0,2.0,0.5630840982018372,0.15975067106501917,0.6350574472172987,1.3107477053944883,1.0,0.7380577747648429
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,2,feelings,True,0.35,neutral_texture,164,2.0,0.0,4.565026869329037,7.248758439731468,82,128.0,10,12.79999872000013,0,0,1.2342365506428905,0.675,0.325,0.325,0.035,0.035,0.18,18,0,0.345,1.0,0.045,6.065256862919428,1.550387596899225,1.0,2.0,4.719999999999999,9.0,1.0362694300518134,1.0,4.0,0.5561360391416007,0.16706812729677467,0.6382748707619653,1.3315918825751976,1.0,0.737000309322232
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,3,feelings,True,0.35,neutral_texture,158,1.7954545454545454,0.11236071009937675,4.928465551717675,7.1446138326149216,88,139.0,3,46.33331788889404,0,0,1.0982227692910183,0.73,0.27,0.27,0.035,0.035,0.21,25,0,0.6,1.0,0.075,6.075061362832888,1.4388489208633093,1.0,3.0,6.0,9.0,1.0362694300518134,1.0,3.0,0.5577377706353404,0.16792137691339917,0.6388655271388725,1.326786688093979,1.0,0.7386221644631855
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,4,feelings,True,0.35,neutral_texture,146,1.7804878048780488,0.1261351476101941,4.636436276649429,7.058562939644932,82,152.0,16,9.499999406250037,0,0,0.9511391111759744,0.79,0.21,0.21,0.03,0.03,0.27,13,0,0.515,1.0,0.035,6.032274618629424,1.3157894736842106,1.0,2.0,5.0,7.0,1.0309278350515463,1.0,3.0,0.5706211603126486,0.16575631021914358,0.6282713102599601,1.2881365190620542,1.0,0.7363417960292711
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,5,feelings,True,0.35,neutral_texture,140,2.08955223880597,0.19293469635803695,4.439646484601702,6.8652423177102815,67,133.0,13,10.230768443787044,0,0,1.2484102484002306,0.665,0.335,0.335,0.0,0.0,0.3,24,0,0.18,1.0,0.07,5.571916235813304,1.5037593984962405,1.0,3.0,4.0,8.0,1.0,1.0,1.0,0.5312346936732572,0.17390765689411122,0.6539095307350808,1.4062959189802289,1.0,0.7351954023889219
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,6,feelings,True,0.35,neutral_texture,151,1.986842105263158,0.2671351488110271,4.58602076001909,7.07245281508727,76,136.0,12,11.333332388888968,0,0,1.1440661602563358,0.715,0.285,0.285,0.035,0.035,0.245,22,0,0.555,1.0,0.07,5.892725675786045,1.4598540145985401,1.0,3.0,5.639999999999986,6.0,1.0309278350515463,1.0,2.0,0.5594101670063584,0.1661853683502274,0.6364591387042215,1.3217694989809246,1.0,0.736205775946043
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,7,feelings,True,0.35,neutral_texture,144,2.2153846153846155,0.21389253048102683,4.835895540889454,7.03071023735929,65,125.0,11,11.363635330578607,0,0,1.2740525938139335,0.655,0.345,0.345,0.03,0.03,0.28,25,0,0.41,1.0,0.05,5.716157383317714,1.5873015873015872,1.0,3.0,5.0,6.0,1.0309278350515463,1.0,2.0,0.5412709159446087,0.17308115727518178,0.6476914822439873,1.3761872521661735,1.0,0.7353288336968413
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,8,feelings,True,0.35,neutral_texture,96,2.2325581395348837,0.08079313589591118,4.3770365371641855,5.792402077209398,43,99.0,11,8.999999181818257,10,3,1.4143040128302364,0.57,0.43,0.43,0.075,0.075,0.52,57,0,0.54,1.0,0.25,4.461879537155889,2.0,1.0,3.0,15.030000000000015,18.0,1.0810810810810811,1.0,2.0,0.5592684315413347,0.16175069471297177,0.6381598891597208,1.322194705375996,1.0,0.7379197115961017
Ipsundrum_Affect_readout_only,humphrey_barrett_readout_only,9,feelings,True,0.35,neutral_texture,156,2.0526315789473686,0.0,4.706999084387895,7.149886252177382,76,132.0,6,21.999996333333943,0,0,1.2031734583778568,0.69,0.31,0.31,0.03,0.03,0.22,24,0,0.3,1.0,0.045,5.928336472993157,1.5151515151515151,1.0,3.0,5.689999999999998,8.0,1.0309278350515463,1.0,3.0,0.5848323331785279,0.15441933744961525,0.6219826341249195,1.245503000464416,1.0,0.7392698142373106
Ipsundrum_Affect_modulation_only,humphrey_barrett_modulation_only,0,feelings,True,0.35,neutral_texture,152,1.876543209876543,1.0089372824905964,4.640858887382855,7.085113159965467,81,131.0,9,14.555553938271785,0,0,1.2702771017482783,0.655,0.345,0.345,0.0,0.0,0.24,28,0,0.28,1.0,0.08,5.9392405203300775,1.5267175572519085,1.0,3.0,5.0,12.0,1.0,1.0,1.0,0.45222977048589885,0.22103523902218108,0.7286287976839714,1.6433106885423034,1.1100960426832658,0.8216765819501518
