model,familiarize_side,phase,morning_idx,scenic_rate_entry,scenic_time_share_barrier,split_delta_novelty,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull,n
Ipsundrum+affect,both,post,1,0.8888888888888888,0.8888888888888888,0.0,0.757518266086268,0.5853817277450823,0.09816794186749214,0.13419897966247124,9
Ipsundrum+affect,both,post,2,0.8888888888888888,0.8888888888888888,-0.0052852043309771935,0.7604874875707613,0.5756492748208087,0.09723740115913833,0.13484759644684544,9
Ipsundrum+affect,both,post,3,1.0,1.0,-0.013039528176203859,0.740238794147533,,0.10582652929285645,,8
Ipsundrum+affect,both,post,4,0.8888888888888888,0.8888888888888888,-0.013777906530984372,0.740238794147533,0.5844153820729868,0.10582652929285645,0.13383921764460016,9
Ipsundrum+affect,both,post,5,0.8888888888888888,0.8888888888888888,-0.016826864129891022,0.740238794147533,0.5756492748208087,0.10582652929285645,0.13484759644684544,9
Ipsundrum+affect,dull,post,1,0.8888888888888888,0.8888888888888888,0.42191311905569695,0.7576013049222536,0.5853817277450823,0.09860662471866755,0.13419897966247124,9
Ipsundrum+affect,dull,post,2,0.8888888888888888,0.8888888888888888,0.20437302855452988,0.7590267033884779,0.5756492748208087,0.09829630030197242,0.13484759644684544,9
Ipsundrum+affect,dull,post,3,1.0,1.0,0.1460956101488283,0.7396117241290546,,0.106249760372236,,9
Ipsundrum+affect,dull,post,4,0.8888888888888888,0.8888888888888888,0.08554820346769586,0.740238794147533,0.5844153820729868,0.10582652929285645,0.13383921764460016,9
Ipsundrum+affect,dull,post,5,0.8888888888888888,0.8888888888888888,0.06988985126556044,0.740238794147533,0.5756492748208087,0.10582652929285645,0.13484759644684544,9
Ipsundrum+affect,none,post,1,0.8888888888888888,0.8888888888888888,0.0,0.7576013049222536,0.5656383872685871,0.09860662471866755,0.13930483907622515,9
Ipsundrum+affect,none,post,2,0.8888888888888888,0.8888888888888888,-0.18731483501414858,0.7590267033884779,0.5756492748208087,0.09829630030197242,0.13484759644684544,9
