model,seed,tail_duration,ns_baseline,ns_peak,ns_half_life,ns_auc,ns_auc_above_baseline,arousal_integral,mean_turn_rate_tail,mean_forward_rate_tail
Ipsundrum+affect,0,200,0.9064296515488289,1.0,0,146.63179215974583,0.1220877991679532,39.592370278205095,1.0,0.0
Ipsundrum+affect,1,29,0.7725876787609951,1.0,0,108.88786173909043,0.22634584490282494,21.84680845821241,1.0,0.0
Ipsundrum+affect,2,200,0.7701838959167052,1.0,0,108.40351125724214,0.2327806727608428,21.6605804784559,1.0,0.0
Ipsundrum+affect,3,23,0.7844393290860776,1.0,0,111.38644464522517,0.19621959725865679,22.808175002129012,0.9,0.1
Ipsundrum+affect,4,12,0.7890280870392572,1.0,0,112.40276047925448,0.1845090156525313,23.19964251151598,0.35,0.65
Ipsundrum+affect,5,200,0.933018831639574,1.0,0,154.8746312886937,0.13081351756265513,44.44226732461166,1.0,0.0
Ipsundrum+affect,6,200,0.875596517709036,1.0,0,136.88202955199725,0.10127241036825463,33.95267403526785,1.0,0.0
Ipsundrum+affect,7,18,0.8391862893442426,1.0,0,125.10648544352725,0.08122189384810496,28.133005823533754,0.65,0.35
Ipsundrum+affect,8,200,0.7785477052900411,1.0,0,110.11194113980454,0.21099841145633969,22.317746845323576,1.0,0.0
Ipsundrum+affect,9,200,0.8218326809415447,1.0,0,120.06121475266687,0.0941270977882197,26.16498928295627,1.0,0.0
Ipsundrum+affect_modulation_only,0,200,0.9064296515488289,1.0,0,146.63179215974583,0.1220877991679532,39.592370278205095,1.0,0.0
Ipsundrum+affect_modulation_only,1,25,0.7725876787609951,1.0,0,108.88786173909043,0.22634584490282494,21.84680845821241,1.0,0.0
Ipsundrum+affect_modulation_only,2,200,0.7701838959167052,1.0,0,108.40351125724214,0.2327806727608428,21.6605804784559,1.0,0.0
Ipsundrum+affect_modulation_only,3,25,0.7844393290860776,1.0,0,111.38644464522517,0.19621959725865679,22.808175002129012,1.0,0.0
Ipsundrum+affect_modulation_only,4,13,0.7890280870392572,1.0,0,112.40276047925448,0.1845090156525313,23.19964251151598,0.4,0.6
Ipsundrum+affect_modulation_only,5,200,0.933018831639574,1.0,0,154.8746312886937,0.13081351756265513,44.44226732461166,1.0,0.0
Ipsundrum+affect_modulation_only,6,200,0.875596517709036,1.0,0,136.88202955199725,0.10127241036825463,33.95267403526785,1.0,0.0
Ipsundrum+affect_modulation_only,7,26,0.8391862893442426,1.0,0,125.10648544352725,0.08122189384810496,28.133005823533754,1.0,0.0
Ipsundrum+affect_modulation_only,8,200,0.7785477052900411,1.0,0,110.11194113980454,0.21099841145633969,22.317746845323576,1.0,0.0
Ipsundrum+affect_modulation_only,9,117,0.8218326809415447,1.0,0,120.06121475266687,0.0941270977882197,26.16498928295627,1.0,0.0
Ipsundrum+affect_readout_only,0,200,0.8121023628915699,1.0,0,137.3793389198559,0.24832504057096183,36.98203004814365,1.0,0.0
Ipsundrum+affect_readout_only,1,27,0.6419957388562958,1.0,0,100.97315597980824,0.22244068868497802,19.33709928914748,1.0,0.0
Ipsundrum+affect_readout_only,2,200,0.6397413430766679,1.0,0,100.51888622446752,0.22178355670522054,19.156026599010353,1.0,0.0
Ipsundrum+affect_readout_only,3,15,0.6536142867780954,1.0,0,103.32600479939865,0.225732569869612,20.275643928788497,0.5,0.5
Ipsundrum+affect_readout_only,4,5,0.658336194228388,1.0,0,104.2878143082965,0.2270218011380829,20.659987610780586,0.0,1.0
Ipsundrum+affect_readout_only,5,200,0.8480501489029122,1.0,0,145.61248201837168,0.24668945927084296,41.873566390474785,1.0,0.0
Ipsundrum+affect_readout_only,6,200,0.7695275584624731,1.0,0,127.87216146801092,0.247069660964379,31.345784290113684,1.0,0.0
Ipsundrum+affect_readout_only,7,11,0.7170194950599471,1.0,0,116.51084772681298,0.24016729625026145,25.556624456689345,0.3,0.7
Ipsundrum+affect_readout_only,8,200,0.6476882242980964,1.0,0,102.1234881629147,0.22407400135877342,19.795789518121246,1.0,0.0
Ipsundrum+affect_readout_only,9,200,0.6937955600796273,1.0,0,111.61381185478623,0.23565753301730197,23.591824964910796,1.0,0.0
