model,seed,scenic_side,phase,familiarize_side,morning_idx,valid,decided,choice_entry,choice_commit,decided_commit,scenic_choice,scenic_time,dull_time,scenic_time_share,scenic_time_barrier,dull_time_barrier,scenic_time_share_barrier,split_delta_novelty,split_scenic_novelty,split_dull_novelty,split_pred_I_scenic,split_pred_I_dull,split_pred_valence_scenic,split_pred_valence_dull,split_pred_arousal_scenic,split_pred_arousal_dull,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull
Recon,0,left,baseline,both,0,True,True,scenic,scenic,True,True,18,0,1.0,11,0,1.0,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,both,1,True,True,dull,dull,True,False,0,45,0.0,0,20,0.0,0.0,0.1091089451179962,0.1091089451179962,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,both,2,True,True,dull,dull,True,False,0,44,0.0,0,22,0.0,0.014617826865689396,0.1091089451179962,0.0944911182523068,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,both,3,True,True,scenic,scenic,True,True,31,5,0.8611111111111112,11,0,1.0,0.02207011714014727,0.1091089451179962,0.08703882797784893,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,both,4,True,True,dull,dull,True,False,0,36,0.0,0,18,0.0,0.009975692779455148,0.0944911182523068,0.08451542547285165,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,both,5,True,True,dull,scenic,True,False,20,27,0.425531914893617,11,11,0.5,0.013380407686925527,0.0944911182523068,0.08111071056538127,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,baseline,dull,0,True,True,scenic,scenic,True,True,18,0,1.0,11,0,1.0,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,dull,1,True,True,scenic,scenic,True,True,20,26,0.43478260869565216,11,11,0.5,0.42191311905569695,0.5,0.07808688094430304,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,dull,2,True,True,dull,dull,True,False,0,45,0.0,0,22,0.0,0.17627902192255143,0.25,0.07372097807744857,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,dull,3,True,True,scenic,scenic,True,True,20,0,1.0,15,0,1.0,0.17998599579859953,0.25,0.07001400420140048,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,dull,4,True,True,dull,dull,True,False,5,43,0.10416666666666667,0,25,0.0,0.13411014103053104,0.20412414523193154,0.07001400420140048,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,dull,5,True,True,dull,scenic,True,False,5,47,0.09615384615384616,0,22,0.0,0.1111234788667756,0.17677669529663687,0.06565321642986127,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,baseline,none,0,True,True,scenic,scenic,True,True,18,0,1.0,11,0,1.0,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,none,1,True,True,scenic,scenic,True,True,20,22,0.47619047619047616,11,11,0.5,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,none,2,True,True,dull,dull,True,False,0,36,0.0,0,20,0.0,0.0,0.25,0.25,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,none,3,True,True,dull,dull,True,False,0,46,0.0,0,30,0.0,0.0610177634953864,0.25,0.1889822365046136,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,none,4,True,True,dull,dull,True,False,16,33,0.32653061224489793,11,25,0.3055555555555556,0.09188611699158103,0.25,0.15811388300841897,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,none,5,True,True,scenic,scenic,True,True,35,9,0.7954545454545454,22,0,1.0,0.07285112546109715,0.22360679774997896,0.15075567228888181,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,baseline,scenic,0,True,True,scenic,scenic,True,True,18,0,1.0,11,0,1.0,0.0,0.5,0.5,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,scenic,1,True,True,dull,dull,True,False,0,36,0.0,0,22,0.0,-0.42191311905569695,0.07808688094430304,0.5,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,scenic,2,True,True,dull,dull,True,False,0,25,0.0,0,15,0.0,-0.17191311905569695,0.07808688094430304,0.25,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,scenic,3,True,True,dull,scenic,True,False,5,41,0.10869565217391304,0,19,0.0,-0.14551991680567594,0.07808688094430304,0.22360679774997896,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,scenic,4,True,True,dull,dull,True,False,5,42,0.10638297872340426,0,25,0.0,-0.08186459784211664,0.07624928516630233,0.15811388300841897,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,0,left,post,scenic,5,True,True,dull,dull,True,False,13,18,0.41935483870967744,8,5,0.6153846153846154,-0.057381335789909865,0.07624928516630233,0.1336306209562122,-0.23579679621048805,-0.07027504517777192,,,,,,,,
Recon,1,right,baseline,both,0,True,True,dull,scenic,True,False,4,21,0.16,0,11,0.0,0.0,0.5,0.5,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,both,1,True,True,dull,dull,True,False,0,23,0.0,0,17,0.0,0.0,0.1091089451179962,0.1091089451179962,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,both,2,True,True,dull,dull,True,False,0,24,0.0,0,17,0.0,0.007046872502030427,0.1091089451179962,0.10206207261596577,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,both,3,True,True,dull,dull,True,False,0,46,0.0,0,36,0.0,0.014617826865689396,0.1091089451179962,0.0944911182523068,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,both,4,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,0.024593519645144543,0.1091089451179962,0.08451542547285165,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,both,5,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,0.02904486821545263,0.1091089451179962,0.08006407690254357,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,baseline,dull,0,True,True,dull,scenic,True,False,4,21,0.16,0,11,0.0,0.0,0.5,0.5,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,dull,1,True,True,dull,dull,True,False,0,23,0.0,0,17,0.0,0.42191311905569695,0.5,0.07808688094430304,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,dull,2,True,True,dull,dull,True,False,0,24,0.0,0,17,0.0,0.42462216385555906,0.5,0.07537783614444091,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,dull,3,True,True,dull,dull,True,False,0,46,0.0,0,36,0.0,0.4278312163512968,0.5,0.07216878364870323,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,dull,4,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,0.4325800137536758,0.5,0.06741998624632421,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,dull,5,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,0.43490554450958807,0.5,0.06509445549041194,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,baseline,none,0,True,True,dull,scenic,True,False,4,21,0.16,0,11,0.0,0.0,0.5,0.5,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,none,1,True,True,scenic,dull,True,True,55,4,0.9322033898305084,38,0,1.0,0.0,0.5,0.5,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,none,2,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,-0.045875854768068464,0.20412414523193154,0.25,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,none,3,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,0.02734744993529467,0.20412414523193154,0.17677669529663687,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,none,4,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,0.059786577934525076,0.20412414523193154,0.14433756729740646,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,none,5,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,0.07912414523193154,0.20412414523193154,0.125,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,baseline,scenic,0,True,True,dull,scenic,True,False,4,21,0.16,0,11,0.0,0.0,0.5,0.5,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,scenic,1,True,True,scenic,dull,True,True,61,3,0.953125,34,0,1.0,-0.42191311905569695,0.07808688094430304,0.5,-0.1978831454723452,-0.07068168602946118,,,,,,,,
Recon,1,right,post,scenic,2,True,True,dull,dull,True,False,0,26,0.0,0,19,0.0,-0.17928932188134525,0.07071067811865475,0.25,-0.1978831454723452,-0.07068168602946118,,,,,,,,
