model,familiarize_side,phase,morning_idx,scenic_rate_entry,scenic_time_share_barrier,split_delta_novelty,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull,n
Recon,both,baseline,0,0.65,0.63,0.0,,,,,20
Recon,both,post,1,0.5,0.49643416927899686,0.0,,,,,20
Recon,both,post,2,0.55,0.5660000000000001,-0.000243535342808731,,,,,20
Recon,both,post,3,0.35,0.38303571428571426,0.0018010523900912046,,,,,20
Recon,both,post,4,0.55,0.55,0.004950365309638593,,,,,20
Recon,both,post,5,0.45,0.4852175925925926,0.004377002101748753,,,,,20
Recon,dull,baseline,0,0.65,0.63,0.0,,,,,20
Recon,dull,post,1,0.7,0.5614927298311445,0.42191311905569695,,,,,20
Recon,dull,post,2,0.45,0.42940596846846846,0.21582925825681137,,,,,20
Recon,dull,post,3,0.45,0.42524916943521596,0.16736469616128963,,,,,20
Recon,dull,post,4,0.5,0.49528769841269843,0.14899807117382094,,,,,20
Recon,dull,post,5,0.55,0.5213362068965517,0.12248203631710337,,,,,20
Recon,none,baseline,0,0.65,0.63,0.0,,,,,20
Recon,none,post,1,0.5,0.4174731182795699,0.0,,,,,20
Recon,none,post,2,0.45,0.4966267507385928,0.0379039288360857,,,,,20
Recon,none,post,3,0.6,0.5570569743323827,0.023763610946150333,,,,,20
Recon,none,post,4,0.4,0.40906836219336223,0.016728659717556674,,,,,20
Recon,none,post,5,0.55,0.5181072954822955,0.019421292472377873,,,,,20
Recon,scenic,baseline,0,0.65,0.63,0.0,,,,,20
Recon,scenic,post,1,0.45,0.47087072649572653,-0.42191311905569695,,,,,20
Recon,scenic,post,2,0.6,0.7037944862155389,-0.23970469837296876,,,,,20
Recon,scenic,post,3,0.35,0.4052886904761904,-0.17801628219021273,,,,,20
Recon,scenic,post,4,0.4,0.457695652173913,-0.11680081761175184,,,,,20
Recon,scenic,post,5,0.5,0.5376777275012569,-0.09232231664419022,,,,,20
Ipsundrum,both,baseline,0,0.65,0.63,0.0,,,,,20
Ipsundrum,both,post,1,0.5,0.49643416927899686,0.0,,,,,20
Ipsundrum,both,post,2,0.55,0.5660000000000001,-0.000243535342808731,,,,,20
Ipsundrum,both,post,3,0.35,0.38303571428571426,0.0018010523900912046,,,,,20
Ipsundrum,both,post,4,0.55,0.55,0.004950365309638593,,,,,20
Ipsundrum,both,post,5,0.45,0.4852175925925926,0.004377002101748753,,,,,20
Ipsundrum,dull,baseline,0,0.65,0.63,0.0,,,,,20
Ipsundrum,dull,post,1,0.7,0.5614927298311445,0.42191311905569695,,,,,20
Ipsundrum,dull,post,2,0.45,0.42940596846846846,0.21582925825681137,,,,,20
Ipsundrum,dull,post,3,0.45,0.42524916943521596,0.16736469616128963,,,,,20
Ipsundrum,dull,post,4,0.5,0.49528769841269843,0.14899807117382094,,,,,20
Ipsundrum,dull,post,5,0.55,0.5213362068965517,0.12248203631710337,,,,,20
Ipsundrum,none,baseline,0,0.65,0.63,0.0,,,,,20
Ipsundrum,none,post,1,0.5,0.4174731182795699,0.0,,,,,20
Ipsundrum,none,post,2,0.45,0.4966267507385928,0.0379039288360857,,,,,20
Ipsundrum,none,post,3,0.6,0.5570569743323827,0.023763610946150333,,,,,20
Ipsundrum,none,post,4,0.4,0.40906836219336223,0.016728659717556674,,,,,20
Ipsundrum,none,post,5,0.55,0.5181072954822955,0.019421292472377873,,,,,20
Ipsundrum,scenic,baseline,0,0.65,0.63,0.0,,,,,20
Ipsundrum,scenic,post,1,0.45,0.47087072649572653,-0.42191311905569695,,,,,20
Ipsundrum,scenic,post,2,0.6,0.7037944862155389,-0.23970469837296876,,,,,20
Ipsundrum,scenic,post,3,0.35,0.4052886904761904,-0.17801628219021273,,,,,20
Ipsundrum,scenic,post,4,0.4,0.457695652173913,-0.11680081761175184,,,,,20
Ipsundrum,scenic,post,5,0.5,0.5376777275012569,-0.09232231664419022,,,,,20
Ipsundrum+affect,both,post,1,0.9444444444444444,0.9444444444444444,0.0,0.7377681545286022,0.5853817277450823,0.11374767054546547,0.13419897966247124,18
Ipsundrum+affect,both,post,2,0.9444444444444444,0.9444444444444444,-0.006866459416865461,0.7444205443462564,0.5756492748208087,0.1116730329307815,0.13484759644684544,18
Ipsundrum+affect,both,post,3,1.0,1.0,-0.013898170830037292,0.7329295842279009,,0.11706378093538705,,17
Ipsundrum+affect,both,post,4,0.9444444444444444,0.9444444444444444,-0.016283207556579766,0.7336443257317179,0.5844153820729868,0.11724806975732714,0.13383921764460016,18
Ipsundrum+affect,both,post,5,0.9444444444444444,0.9444444444444444,-0.01958932239852788,0.7304209006851105,0.5756492748208087,0.11674651977115506,0.13484759644684544,18
Ipsundrum+affect,dull,post,1,0.9444444444444444,0.9444444444444444,0.42191311905569695,0.7425290195215584,0.5853817277450823,0.11225484407234905,0.13419897966247124,18
Ipsundrum+affect,dull,post,2,0.9444444444444444,0.9444444444444444,0.18137105856908808,0.739421489942011,0.5756492748208087,0.11504655349577343,0.13484759644684544,18
Ipsundrum+affect,dull,post,3,1.0,1.0,0.12573793649720263,0.7339506907716753,,0.11593751100065829,,18
Ipsundrum+affect,dull,post,4,0.9444444444444444,0.9444444444444444,0.08258959733488418,0.7355232946043259,0.5844153820729868,0.11631679144840881,0.13383921764460016,18
Ipsundrum+affect,dull,post,5,0.9444444444444444,0.9444444444444444,0.06638201357417632,0.7326457940372137,0.5756492748208087,0.11637198119701017,0.13484759644684544,18
Ipsundrum+affect,none,post,1,0.9444444444444444,0.9444444444444444,0.0,0.7425290195215584,0.5656383872685871,0.11225484407234905,0.13930483907622515,18
Ipsundrum+affect,none,post,2,0.9444444444444444,0.9444444444444444,-0.22542943274309962,0.739421489942011,0.5756492748208087,0.11504655349577343,0.13484759644684544,18
Ipsundrum+affect,none,post,3,1.0,1.0,-0.27806645308584516,0.7339506907716753,,0.11593751100065829,,18
Ipsundrum+affect,none,post,4,0.9444444444444444,0.9444444444444444,-0.3212147922481636,0.7355232946043259,0.5844153820729868,0.11631679144840881,0.13383921764460016,18
Ipsundrum+affect,none,post,5,0.9444444444444444,0.9444444444444444,-0.33629467027415205,0.7326457940372137,0.5756492748208087,0.11637198119701017,0.13484759644684544,18
Ipsundrum+affect,scenic,post,1,0.9444444444444444,0.9444444444444444,-0.42191311905569695,0.7377681545286022,0.5656383872685871,0.11374767054546547,0.13930483907622515,18
Ipsundrum+affect,scenic,post,2,0.9444444444444444,0.9444444444444444,-0.4094902537716959,0.7418206062853374,0.5756492748208087,0.11324084542361205,0.13484759644684544,18
Ipsundrum+affect,scenic,post,3,1.0,1.0,-0.4275428772826639,0.7312387634532403,,0.11674983634346196,,17
Ipsundrum+affect,scenic,post,4,0.9444444444444444,0.9444444444444444,-0.4107512257697603,0.7329295842279009,0.5844153820729868,0.11706378093538705,0.13383921764460016,18
Ipsundrum+affect,scenic,post,5,0.9444444444444444,0.9444444444444444,-0.4112538117736987,0.731727993340353,0.5756492748208087,0.11727595818504208,0.13484759644684544,18
Ipsundrum+affect,both,baseline,0,0.9375,0.9375,0.0,0.750923883799366,0.5390521285755195,0.10783572125799495,0.15453872385763445,16
Ipsundrum+affect,dull,baseline,0,0.9375,0.9375,0.0,0.750923883799366,0.5390521285755195,0.10783572125799495,0.15453872385763445,16
