task,model,horizon,seed,T,success,time_to_goal,hazard_contacts,min_dist_to_goal,final_dist_to_goal,forward_frac,turn_frac,stay_frac,unique_pos_frac,mean_Ns,mean_alpha_eff,mean_valence,mean_arousal
corridor,Recon,1,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,1,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,1,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,1,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,1,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,1,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,1,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,1,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,1,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,1,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,2,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,2,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,2,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,2,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,2,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,2,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,2,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,2,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,2,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
