model,model_display,metric,mean,ci_low,ci_high,n
perspective,Perspective,hysteresis,0.07481547652246447,0.06192226708718187,0.0895480569066501,16
perspective,Perspective,residue,0.136633226666472,0.11105327022508518,0.164901372923067,16
perspective,Perspective,plasticity_open_mean,0.4353262871838452,0.4337422482246163,0.43676305150746253,16
perspective,Perspective,delta_w_norm_mean,0.0,0.0,0.0,16
perspective_plastic,Perspective+plastic,hysteresis,0.07544194106986196,0.06243493543835021,0.09024707055933388,16
perspective_plastic,Perspective+plastic,residue,0.13779255554636438,0.11200598088704947,0.16624492566742188,16
perspective_plastic,Perspective+plastic,plasticity_open_mean,0.43531581596917235,0.43372431611359025,0.4367606573048758,16
perspective_plastic,Perspective+plastic,delta_w_norm_mean,0.023595671190568303,0.021045603661216702,0.02639475090005981,16
gw_lite,GW-lite,hysteresis,0.14155830624524388,0.1160701527986698,0.16891356296960114,16
gw_lite,GW-lite,residue,0.23882975214336422,0.20327729740213038,0.27776885524401157,16
gw_lite,GW-lite,plasticity_open_mean,0.0,0.0,0.0,16
gw_lite,GW-lite,delta_w_norm_mean,0.0,0.0,0.0,16
humphrey_barrett,Ipsundrum+affect,hysteresis,0.2501132204066211,0.24571201922931535,0.2544307812438621,16
humphrey_barrett,Ipsundrum+affect,residue,0.8653840154242052,0.8622171832476306,0.868398663911742,16
humphrey_barrett,Ipsundrum+affect,plasticity_open_mean,0.0,0.0,0.0,16
humphrey_barrett,Ipsundrum+affect,delta_w_norm_mean,0.0,0.0,0.0,16
humphrey,Ipsundrum,hysteresis,0.21982077351121557,0.2159773655253699,0.22387743589265477,16
humphrey,Ipsundrum,residue,0.7888858585732782,0.7870343163674056,0.7906181960190948,16
humphrey,Ipsundrum,plasticity_open_mean,0.0,0.0,0.0,16
humphrey,Ipsundrum,delta_w_norm_mean,0.0,0.0,0.0,16
recon,Recon,hysteresis,0.0,0.0,0.0,16
recon,Recon,residue,0.0,0.0,0.0,16
recon,Recon,plasticity_open_mean,0.0,0.0,0.0,16
recon,Recon,delta_w_norm_mean,0.0,0.0,0.0,16
