model,arch_seed,env_seed,step,phase,lambda,phi_norm,plasticity_open,delta_w_norm,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,p_0,p_1,p_2,p_3,delta_w_in_0_0,delta_w_in_0_1,delta_w_in_0_2,delta_w_in_0_3,delta_w_in_0_4,delta_w_in_0_5,delta_w_in_1_0,delta_w_in_1_1,delta_w_in_1_2,delta_w_in_1_3,delta_w_in_1_4,delta_w_in_1_5,delta_w_in_2_0,delta_w_in_2_1,delta_w_in_2_2,delta_w_in_2_3,delta_w_in_2_4,delta_w_in_2_5,delta_w_in_3_0,delta_w_in_3_1,delta_w_in_3_2,delta_w_in_3_3,delta_w_in_3_4,delta_w_in_3_5,delta_w_in_4_0,delta_w_in_4_1,delta_w_in_4_2,delta_w_in_4_3,delta_w_in_4_4,delta_w_in_4_5,delta_w_in_5_0,delta_w_in_5_1,delta_w_in_5_2,delta_w_in_5_3,delta_w_in_5_4,delta_w_in_5_5,delta_w_in_6_0,delta_w_in_6_1,delta_w_in_6_2,delta_w_in_6_3,delta_w_in_6_4,delta_w_in_6_5,delta_w_in_7_0,delta_w_in_7_1,delta_w_in_7_2,delta_w_in_7_3,delta_w_in_7_4,delta_w_in_7_5,precision_vec_0,precision_vec_1,precision_vec_2,precision_vec_3,workspace_0,workspace_1,workspace_2,workspace_3,workspace_4,workspace_5,workspace_6,workspace_7,selector_logits_0,selector_logits_1,selector_logits_2,selector_logits_3,selector_weights_0,selector_weights_1,selector_weights_2,selector_weights_3,sel_touch,sel_smell,sel_vision,sel_efference
perspective,0,0,0,up,0.0,0.03894871338363421,0.436196660186045,0.0,0.04843299480695933,0.005553963744958472,-0.04239994301905195,0.047090993902828455,0.029556782741897894,0.047605081205786194,0.19210067975981704,0.2398437924650532,0.003505225589415088,-0.036514610267112765,-0.010911275634143078,0.007234844081555259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
perspective,0,0,1,up,0.125,0.0922120122063862,0.4337993512435662,0.0,0.05487585059824855,0.038791719580093004,-0.11758155698945638,0.11575739635574027,0.08737738838992568,0.07127256291813275,0.2442081745595426,0.4050055958524633,0.01073072165970997,-0.08634472655792978,-0.026090877246330614,0.01586698232071216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0521560524759321,1.0528343386765409,1.0548234761085655,1.0507701450792315,,,,,,,,,,,,,,,,,,,,
perspective,0,0,2,up,0.25,0.14750647913398846,0.4309364949020793,0.0,0.05155347552676604,-0.006972464231149222,-0.1741680329302528,0.15924771939712654,0.10477247165610941,0.11563532398145913,0.2781036265599409,0.4824602560943577,0.023044974479244702,-0.13767425735107935,-0.04234654418905766,0.02190113229560716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0835476823358248,1.08462120745032,1.0895243083248172,1.0806099267129217,,,,,,,,,,,,,,,,,,,,
perspective,0,0,3,up,0.375,0.20224956592176727,0.4275975445099437,0.0,0.02622722480369052,-0.08409928467803585,-0.21609512610028275,0.22437840527395886,0.10591569281241278,0.15620217581375914,0.32028033077891216,0.521229758687419,0.03886431025119758,-0.18802912427150045,-0.05910170326857406,0.02337711275346061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0905862846326988,1.091058362863883,1.0993601445229966,1.0868595257868316,,,,,,,,,,,,,,,,,,,,
perspective,0,0,4,up,0.5,0.2463251340447391,0.4253646147664889,0.0,-0.06353287657566967,-0.12000363138015664,-0.05035979825639399,0.20673993109648578,0.15575678686354735,0.2059879873664257,0.2731242827379282,0.5030136061603445,0.03978472382228575,-0.22953060066846476,-0.07525214380111764,0.02731420184908949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.089904044468619,1.0893049367975627,1.1012522178269486,1.0867995402183164,,,,,,,,,,,,,,,,,,,,
perspective,0,0,5,up,0.625,0.2936028078267259,0.4219763903054832,0.0,-0.06533276822307295,0.021113970474007412,-0.30537808418480566,0.30540533525872204,0.2470589045832412,0.050972084898910565,0.17988982609775978,0.6332779493635647,0.04975251361214853,-0.2744426440246996,-0.0886212422431203,0.023554335418952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0654060429801586,1.0670777381719116,1.0814941807401401,1.0621386201574199,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,up,0.75,0.3394139941615634,0.4179630947075415,0.0,-0.04340540711149064,-0.11351682664068827,-0.3878832343198304,0.29112523294265324,0.1794940653981075,0.09836834460458614,0.2498569275620981,0.6250900854625164,0.07044785478671206,-0.3157582836924926,-0.10174163059876448,0.013575937217446623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1506518211858752,1.1531537578337294,1.170212790221295,1.1499517019769483,,,,,,,,,,,,,,,,,,,,
perspective,0,0,7,up,0.875,0.3853323056953994,0.41356769722318387,0.0,-0.06987003779319008,-0.2531288569329379,-0.4078479210128555,0.35742930253959276,0.1230848074188646,0.15206288252626857,0.36044539521424496,0.6026576530304002,0.09414852258853028,-0.35516806140652785,-0.11606949406451722,-0.0007498074856845602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1205746210551388,1.121408680690914,1.1417547912714088,1.124100881246736,,,,,,,,,,,,,,,,,,,,
perspective,0,0,8,up,1.0,0.4095270553284442,0.4119459814045593,0.0,-0.21441232822286668,-0.27580502443798677,-0.02093003383844591,0.2694872099454303,0.19711056742916838,0.2275612714857282,0.2762588407013335,0.5029506343978191,0.08516356551653807,-0.3791377708837162,-0.1292328943189006,-0.0036035912342377236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0965524279574588,1.0953205398888182,1.119260154655474,1.1055733758684043,,,,,,,,,,,,,,,,,,,,
perspective,0,0,9,down,1.0,0.4193865186328756,0.411654321264762,0.0,-0.2846355189008643,-0.3397925833985569,0.17756797808821506,0.26798049016909625,0.22377020020372257,0.2262726581722323,0.21387195412586407,0.42280430998486274,0.06070209594673758,-0.3906793692414615,-0.1398357422840241,-0.003987880094260392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036934348009514,1.040457452272318,1.0655494180082616,1.0477827840286322,,,,,,,,,,,,,,,,,,,,
perspective,0,0,10,down,0.875,0.4454537684234459,0.4089618898045782,0.0,-0.2389453778970741,-0.1317346176662511,-0.2310494894150119,0.3905314142544486,0.31591257478084,-0.040978484761327996,0.09184654701520299,0.6101730625275812,0.05568644430353211,-0.41621016522548643,-0.14777929631260373,-0.01607661866822533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0270233645301785,1.0385326299068218,1.0632801209675566,1.0388527590598182,,,,,,,,,,,,,,,,,,,,
perspective,0,0,11,down,0.75,0.47274405083158577,0.40552271720239375,0.0,-0.18866656784743252,-0.2620023948721773,-0.33843719116519516,0.3479216062577169,0.2284717908489946,0.004034270542073771,0.16887106273104885,0.6050371867531785,0.0667542669572054,-0.4399236667735522,-0.1561399464433576,-0.03344084294453609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1448614107867119,1.1611498683726202,1.1864819040109875,1.1619975589846123,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,down,0.625,0.5001755106418941,0.4020652492076339,0.0,-0.19787619114289506,-0.35494440581040215,-0.3451967958744838,0.36864078320329263,0.1955502613411693,0.04317125153635553,0.2516447573287953,0.5887680282277481,0.08004652030853343,-0.4625639485210853,-0.16485318566585014,-0.051245650905990814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0960919913741842,1.1131483938791011,1.140219972334856,1.119736551646288,,,,,,,,,,,,,,,,,,,,
perspective,0,0,13,down,0.5,0.5137595357991209,0.40048165821770226,0.0,-0.2729159678957222,-0.3546423392877882,-0.12617562609942434,0.298815672794675,0.25455019797098183,0.06976960004829527,0.18739169664569305,0.5431585569902169,0.07333140528629739,-0.47450877514671796,-0.17234761918039743,-0.06090226674660957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06856653560136,1.0857533814992817,1.1147665472230301,1.0987260795857803,,,,,,,,,,,,,,,,,,,,
perspective,0,0,14,down,0.375,0.5308306040486077,0.39833988417182487,0.0,-0.25991082529904525,-0.26608778052800897,-0.27293739287071317,0.33947640942988855,0.3150179633971585,-0.05670524767681852,0.11156865651123929,0.6164256021047727,0.07130805610711638,-0.48969732410048405,-0.17748713943434197,-0.07342436539101999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0310318313081563,1.0522901074885018,1.081697000691333,1.0650284341356835,,,,,,,,,,,,,,,,,,,,
perspective,0,0,15,down,0.25,0.5445188123875996,0.3964336154371945,0.0,-0.24377760519605893,-0.32062988638082895,-0.26930348599472614,0.3085471528916248,0.29214775968397044,-0.045637661112538884,0.12181208040563438,0.5929051454998115,0.07145811945185264,-0.5010875599709519,-0.18164772276364757,-0.08549758046603076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0801422849151852,1.1046561020320793,1.1344468707898372,1.1191193426783386,,,,,,,,,,,,,,,,,,,,
perspective,0,0,16,down,0.125,0.5549472108823887,0.39491378722151377,0.0,-0.2458655842805184,-0.35332981924874884,-0.23803825661720823,0.3012615767130292,0.2917102016886933,-0.04845197917156412,0.12608418863269927,0.5748503705951651,0.06929475469419795,-0.509638061627544,-0.1850188915438666,-0.09592549061856276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0508700052336806,1.0776983157748365,1.1078964366678146,1.0944545469657851,,,,,,,,,,,,,,,,,,,,
perspective,0,0,17,down,0.0,0.5615986434456215,0.3938318534083453,0.0,-0.2526319656252619,-0.3609147161831498,-0.20398143853618794,0.28673533431778175,0.30638810787970494,-0.06789017749559342,0.10289109282160544,0.5666580879844336,0.0635102943678981,-0.5150214709044962,-0.18751645971156317,-0.10464196421071303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0357823473540215,1.0651739953660455,1.095519084097101,1.083369846313271,,,,,,,,,,,,,,,,,,,,
perspective,0,1,0,up,0.0,0.03894871338363421,0.436196660186045,0.0,0.04843299480695933,0.005553963744958472,-0.04239994301905195,0.047090993902828455,0.029556782741897894,0.047605081205786194,0.19210067975981704,0.2398437924650532,0.003505225589415088,-0.036514610267112765,-0.010911275634143078,0.007234844081555259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
perspective,0,1,1,up,0.125,0.09112797561308604,0.43382020212510025,0.0,0.05769425083803177,-0.002463489790246136,-0.09874069726277412,0.10692857131670211,0.06719055615971942,0.08955025152904272,0.26531772814598314,0.3852102134738058,0.01111848537232777,-0.08520300374223769,-0.02611125156940327,0.015470549994880681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0521560524759321,1.0528343386765409,1.0548234761085655,1.0507701450792315,,,,,,,,,,,,,,,,,,,,
