model,seed,scenic_side,choice_entry,decided,choice_commit,decided_commit,time_scenic,time_dull,time_center,scenic_time_share,time_scenic_barrier,time_dull_barrier,scenic_time_share_barrier,success,hazard_contacts,mean_valence_scenic,mean_valence_dull,mean_arousal_scenic,mean_arousal_dull
Recon,0,left,scenic,True,scenic,True,18,0,4,1.0,11,0,1.0,True,0,,,,
Recon,1,right,dull,True,scenic,True,4,21,9,0.16,0,11,0.0,True,0,,,,
Recon,2,left,scenic,True,scenic,True,43,0,17,1.0,28,0,1.0,True,0,,,,
Recon,3,right,scenic,True,scenic,True,21,0,14,1.0,11,0,1.0,True,0,,,,
Recon,4,left,scenic,True,dull,True,26,5,19,0.8387096774193549,11,0,1.0,True,0,,,,
Ipsundrum,0,left,scenic,True,scenic,True,18,0,4,1.0,11,0,1.0,True,0,,,,
Ipsundrum,1,right,dull,True,scenic,True,4,21,9,0.16,0,11,0.0,True,0,,,,
Ipsundrum,2,left,scenic,True,scenic,True,43,0,17,1.0,28,0,1.0,True,0,,,,
Ipsundrum,3,right,scenic,True,scenic,True,21,0,14,1.0,11,0,1.0,True,0,,,,
Ipsundrum,4,left,scenic,True,dull,True,26,5,19,0.8387096774193549,11,0,1.0,True,0,,,,
Ipsundrum+affect,0,left,,False,none,False,0,0,80,0.0,0,0,0.0,False,0,,,,
Ipsundrum+affect,1,right,scenic,True,scenic,True,14,0,66,1.0,11,0,1.0,False,0,0.7403501205602305,,0.11536262493913842,
Ipsundrum+affect,2,left,scenic,True,scenic,True,53,0,27,1.0,11,0,1.0,False,0,0.9071045075644146,,0.06486754050120414,
Ipsundrum+affect,3,right,scenic,True,scenic,True,22,0,43,1.0,13,0,1.0,True,0,0.8043437263888634,,0.08645689116684366,
Ipsundrum+affect,4,left,scenic,True,scenic,True,22,0,19,1.0,13,0,1.0,True,0,0.6707791395390378,,0.1248335969616424,
Perspective,0,left,scenic,True,scenic,True,25,0,27,1.0,17,0,1.0,True,0,0.7665093019606992,,0.08991821817638262,
Perspective,1,right,scenic,True,scenic,True,33,0,47,1.0,22,0,1.0,False,0,0.7562952947643578,,0.0865226780780143,
Perspective,2,left,scenic,True,scenic,True,44,0,19,1.0,33,0,1.0,True,0,0.7874325994301408,,0.07706129609791858,
Perspective,3,right,scenic,True,scenic,True,16,0,13,1.0,11,0,1.0,True,0,0.7845050429194417,,0.07921543951996733,
Perspective,4,left,scenic,True,scenic,True,20,0,10,1.0,11,0,1.0,True,0,0.7779089746287664,,0.08507087238371255,
Perspective+plastic,0,left,scenic,True,scenic,True,25,0,27,1.0,17,0,1.0,True,0,0.7646426130527791,,0.09052872769541327,
Perspective+plastic,1,right,scenic,True,scenic,True,33,0,47,1.0,22,0,1.0,False,0,0.7534337214038218,,0.08738467428674397,
Perspective+plastic,2,left,scenic,True,scenic,True,44,0,19,1.0,33,0,1.0,True,0,0.7854836185489994,,0.0776409614964214,
Perspective+plastic,3,right,scenic,True,scenic,True,16,0,13,1.0,11,0,1.0,True,0,0.7838796116249012,,0.0794160344723519,
Perspective+plastic,4,left,scenic,True,scenic,True,20,0,10,1.0,11,0,1.0,True,0,0.7772743313310762,,0.08521939944522386,
GW-lite,0,left,scenic,True,scenic,True,27,3,32,0.9,13,0,1.0,True,0,0.7590815881643364,0.7051584846657368,0.09002548787031849,0.1210168251363853
GW-lite,1,right,scenic,True,scenic,True,18,0,4,1.0,13,0,1.0,True,0,0.8225696662894886,,0.11021920533444755,
GW-lite,2,left,scenic,True,scenic,True,44,0,19,1.0,33,0,1.0,True,0,0.7909393096863621,,0.07367029442213834,
GW-lite,3,right,scenic,True,scenic,True,16,0,13,1.0,11,0,1.0,True,0,0.7820682318041838,,0.07898252470461141,
GW-lite,4,left,scenic,True,scenic,True,20,0,10,1.0,11,0,1.0,True,0,0.7807057435473752,,0.08280492359912656,
