seed,condition,env_name,metabolic_load,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity,partner_final_energy,partner_peak_energy,self_final_energy,joint_homeostatic_margin
0,social_none,SocialCorridorWorld,low,none,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809
0,social_cognitive_direct,SocialCorridorWorld,low,none,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809
0,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379
0,social_full_direct,SocialCorridorWorld,low,none,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379
1,social_none,SocialCorridorWorld,low,none,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809
1,social_cognitive_direct,SocialCorridorWorld,low,none,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809
1,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379
1,social_full_direct,SocialCorridorWorld,low,none,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379
2,social_none,SocialCorridorWorld,low,none,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809
2,social_cognitive_direct,SocialCorridorWorld,low,none,0.0,0.0,0.1499999999999999,18.0,0.055,18.0,0.0199999999999999,0.19,0.7449999999999998,0.6309523809523809
2,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.3285714285714285,9.0,0.3250000000000002,18.0,0.2699999999999999,0.35,0.6049999999999998,0.5505952380952379
