seed,condition,env_name,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity,partner_final_energy,partner_peak_energy,self_final_energy,joint_homeostatic_margin
0,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
0,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
0,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
0,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
1,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
1,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
1,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
1,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
2,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
2,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
2,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
2,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
3,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
3,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
3,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
3,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
4,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
4,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
4,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
4,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
5,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
5,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
5,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
5,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
6,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
6,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
6,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
6,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
7,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
7,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
7,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
7,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
8,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
8,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
8,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
8,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
9,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
9,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
9,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
9,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
10,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
10,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
10,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
10,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
11,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
11,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
11,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
11,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
12,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
12,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
12,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
12,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
13,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
13,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
13,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
13,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
14,social_none,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
14,social_cognitive_direct,FoodShareToy,none,0.0,0.0,1.0,1.0,0.0,1.0,0.19,0.19,0.79,0.2714285714285714
14,social_affective_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
14,social_full_direct,FoodShareToy,none,1.0,1.0,1.0,0.0,0.01,1.0,0.44,0.44,0.54,0.6285714285714287
