seed,episode,t,env_name,condition,agent_id,action,energy_true,energy_model,energy_pred,distress_self,distress_other_est,distress_coupled,pe,valence,arousal,Ns,internal,efference,g_eff,precision_eff,has_food,partner_alive,transfer_event,lesion_mode
0,0,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
1,1,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
2,2,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
3,3,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
4,4,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
5,5,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
6,6,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
7,7,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
8,8,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
9,9,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
10,10,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
11,11,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
12,12,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
13,13,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
14,14,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
15,15,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
16,16,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
17,17,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
18,18,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
19,19,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
20,20,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
21,21,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
22,22,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
23,23,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
24,24,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
25,25,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
26,26,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
27,27,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
28,28,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
29,29,0,FoodShareToy,social_affective_direct,possessor,PASS,0.54,0.62625,0.38750000000000007,0.07374999999999998,0.49999999999999994,0.57375,0.15249999999999997,0.0,0.72625,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,1,sham
