seed,condition,env_name,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity
0,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
1,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
2,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
3,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
4,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
5,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
6,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
7,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
8,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
9,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
10,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
11,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
12,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
13,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
14,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
15,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
16,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
17,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
18,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
19,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
20,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
21,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
22,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
23,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
24,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
25,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
26,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
27,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
28,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
29,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
30,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
31,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
32,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
33,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
34,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
35,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
36,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
37,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
38,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
39,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
40,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
41,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
42,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
43,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
44,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
45,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
46,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
47,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
48,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
49,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
50,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
51,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
52,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
53,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
54,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
55,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
56,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
57,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
58,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
59,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
60,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
61,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
62,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
63,social_affective_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
0,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
1,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
2,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
3,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
4,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
5,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
6,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
7,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
8,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
9,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
10,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
11,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
12,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
13,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
14,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
15,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
16,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
17,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
18,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
19,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
20,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
21,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
22,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
23,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
24,social_full_direct,FoodShareToy,sham,1.0,1.0,1.0,0.0,0.010000000000000009,1.0
