metabolic_load,lambda_affective,mutual_viability,help_rate_when_partner_distressed,episode_joint_longevity,self_cost_of_help
low,0.0,0.14999999999999997,0.0,18.0,0.05500000000000005
low,0.25,0.2888888888888888,1.0,18.0,0.05500000000000005
low,0.5,0.22936507936507933,1.0,18.0,0.08500000000000008
low,0.75,0.2095238095238095,1.0,18.0,0.09500000000000008
low,1.0,0.3285714285714285,1.0,18.0,0.32500000000000023
medium,0.0,0.0376984126984127,0.0,8.0,0.20000000000000018
medium,0.25,0.0376984126984127,0.0,8.0,0.20000000000000018
medium,0.5,0.0376984126984127,0.0,8.0,0.20000000000000018
medium,0.75,0.0376984126984127,0.0,8.0,0.20000000000000018
medium,1.0,0.0376984126984127,0.0,8.0,0.20000000000000018
high,0.0,0.023809523809523815,0.0,7.0,0.2900000000000001
high,0.25,0.023809523809523815,0.0,7.0,0.2900000000000001
high,0.5,0.023809523809523815,0.0,7.0,0.2900000000000001
high,0.75,0.023809523809523815,0.0,7.0,0.2900000000000001
high,1.0,0.023809523809523815,0.0,7.0,0.2900000000000001
