seed,episode,t,env_name,condition,agent_id,action,energy_true,energy_model,energy_pred,distress_self,distress_other_est,distress_coupled,pe,valence,arousal,Ns,internal,efference,g_eff,precision_eff,partner_energy_true,partner_energy_model,partner_energy_pred,partner_distress_self,has_food,partner_alive,transfer_event,lesion_mode
0,0,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
1,1,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
2,2,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
3,3,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
4,4,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
5,5,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
6,6,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
7,7,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
0,0,0,FoodShareToy,social_full_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
1,1,0,FoodShareToy,social_full_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
2,2,0,FoodShareToy,social_full_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
3,3,0,FoodShareToy,social_full_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
4,4,0,FoodShareToy,social_full_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
5,5,0,FoodShareToy,social_full_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,0.19,0.2575,0.07500000000000002,0.44249999999999995,1,1,0,shuffle_partner
