env_name,condition,lesion_mode,help_rate_when_partner_distressed_mean,help_rate_when_partner_distressed_ci_low,help_rate_when_partner_distressed_ci_high,partner_recovery_rate_mean,partner_recovery_rate_ci_low,partner_recovery_rate_ci_high,mutual_viability_mean,mutual_viability_ci_low,mutual_viability_ci_high,rescue_latency_mean,rescue_latency_ci_low,rescue_latency_ci_high,partner_final_energy_mean,partner_final_energy_ci_low,partner_final_energy_ci_high,joint_homeostatic_margin_mean,joint_homeostatic_margin_ci_low,joint_homeostatic_margin_ci_high
FoodShareToy,social_affective_direct,coupling_off,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19,0.19,0.19,0.2714285714285714,0.2714285714285714,0.2714285714285714
FoodShareToy,social_affective_direct,sham,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.44,0.44,0.44,0.6285714285714287,0.6285714285714287,0.6285714285714287
FoodShareToy,social_affective_direct,shuffle_partner,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19,0.19,0.19,0.2714285714285714,0.2714285714285714,0.2714285714285714
FoodShareToy,social_full_direct,coupling_off,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19,0.19,0.19,0.2714285714285714,0.2714285714285714,0.2714285714285714
FoodShareToy,social_full_direct,sham,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.44,0.44,0.44,0.6285714285714287,0.6285714285714287,0.6285714285714287
FoodShareToy,social_full_direct,shuffle_partner,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19,0.19,0.19,0.2714285714285714,0.2714285714285714,0.2714285714285714
SocialCorridorWorld,social_affective_direct,coupling_off,0.0,0.0,0.0,0.0,0.0,0.0,0.1499999999999999,0.1499999999999999,0.1499999999999999,18.0,18.0,18.0,0.0199999999999999,0.0199999999999999,0.0199999999999999,0.6309523809523809,0.6309523809523809,0.6309523809523809
SocialCorridorWorld,social_affective_direct,sham,1.0,1.0,1.0,1.0,1.0,1.0,0.3285714285714285,0.3285714285714285,0.3285714285714285,9.0,9.0,9.0,0.2699999999999999,0.2699999999999999,0.2699999999999999,0.5505952380952379,0.5505952380952379,0.5505952380952379
SocialCorridorWorld,social_affective_direct,shuffle_partner,0.0,0.0,0.0,0.0,0.0,0.0,0.1499999999999999,0.1499999999999999,0.1499999999999999,18.0,18.0,18.0,0.0199999999999999,0.0199999999999999,0.0199999999999999,0.6309523809523809,0.6309523809523809,0.6309523809523809
SocialCorridorWorld,social_full_direct,coupling_off,0.0,0.0,0.0,0.0,0.0,0.0,0.1499999999999999,0.1499999999999999,0.1499999999999999,18.0,18.0,18.0,0.0199999999999999,0.0199999999999999,0.0199999999999999,0.6309523809523809,0.6309523809523809,0.6309523809523809
SocialCorridorWorld,social_full_direct,sham,1.0,1.0,1.0,1.0,1.0,1.0,0.3285714285714285,0.3285714285714285,0.3285714285714285,9.0,9.0,9.0,0.2699999999999999,0.2699999999999999,0.2699999999999999,0.5505952380952379,0.5505952380952379,0.5505952380952379
SocialCorridorWorld,social_full_direct,shuffle_partner,0.0,0.0,0.0,0.0,0.0,0.0,0.1499999999999999,0.1499999999999999,0.1499999999999999,18.0,18.0,18.0,0.0199999999999999,0.0199999999999999,0.0199999999999999,0.6309523809523809,0.6309523809523809,0.6309523809523809
